,sub_label,obj_label,subj_anchors
0,accordion,"['musical', 'noisy', 'loud', 'played', 'unusual', 'complicated', 'difficult', 'rare', 'old', 'dated', 'French', 'heavy']","['piano', 'guitar', 'drums']"
1,aeroplane,"['big', 'large', 'enormous', 'transport', 'expensive', 'fast', 'flown', 'white', 'heavy', 'modern', 'noisy', 'loud', 'light', 'technical', 'technology']","['missiles', 'transport', 'missile']"
2,alligator,"['aquatic', 'green', 'dangerous', 'big', 'predatory', 'large', 'scary', 'frightening', 'aggressive', 'long', 'vicious', 'sly', 'fast', 'brown', 'wild', 'killed', 'endangered', 'slow']","['seal', 'turtle', 'fish']"
3,ambulance,"['fast', 'white', 'noisy', 'loud', 'important', 'necessary', 'bright', 'green']","['fire', 'transport', 'radio']"
4,anchor,"['heavy', 'metal', 'rusty', 'strong', 'curved', 'useful', 'big', 'large']","['cable', 'rope', 'mast']"
5,ant,"['small', 'black', 'red', 'strong', 'social', 'alive', 'brown', 'poisonous']","['spider', 'plant', 'bee']"
6,apple,"['green', 'red', 'circular', 'round', 'spherical', 'delicious', 'healthy', 'eaten', 'edible', 'hard', 'sweet', 'sour', 'sharp', 'acidic', 'shiny', 'food', 'small']","['grape', 'apples', 'fruit']"
7,apricot,"['orange', 'dried', 'eaten', 'edible', 'dry', 'sweet', 'small', 'yellow', 'soft', 'circular', 'round', 'spherical']","['coffee', 'chocolate', 'orange']"
8,apron,"['protective', 'worn', 'clothing', 'dirty', 'long', 'striped', 'useful']","['skirt', 'belt', 'hat']"
9,arm,"['long', 'useful', 'strong', 'hairy', 'flexible', 'thin', 'necessary', 'essential', 'mobile', 'narrow', 'vital', 'muscular', 'robotic', 'short']","['legs', 'shoulder', 'hand']"
10,armchair,"['comfortable', 'soft', 'big', 'large', 'furniture', 'relaxing', 'heavy', 'padded', 'leather', 'warm']","['chair', 'chairs', 'table']"
11,armour,"['protective', 'metal', 'heavy', 'strong', 'worn', 'hard', 'shiny', 'old', 'clothing', 'expensive', 'silver', 'ancient', 'medieval', 'noble', 'leather']","['weapons', 'arms', 'guns']"
12,arrow,"['pointed', 'sharp', 'metal', 'wooden', 'long', 'fired', 'shot', 'deadly', 'dangerous', 'thin', 'pointing', 'aimed', 'light', 'straight', 'strong']","['bow', 'spear', 'sword']"
13,artichoke,"['green', 'edible', 'eaten', 'cooked', 'grown', 'food', 'healthy', 'layered', 'spherical', 'rounded', 'round', 'circular', 'sold', 'purple', 'hard', 'expensive', 'natural', 'boiled', 'alive', 'small']","['cheese', 'tomato', 'chocolate']"
