	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	3.9	13.700000000000001	20.5	IsA	8.200000000000001	5.9	0.953	sub_sister
1	anchor_col_all	3.9	13.700000000000001	20.5	IsA	8.200000000000001	5.9	0.953	sub_sister
0	sentence	2.4	9.0	15.8	IsA	6.0	5.9	0.953	obj_label
1	def_sap	0.7000000000000001	6.1	11.799999999999999	IsA	3.0	5.9	0.953	obj_label
2	lsp_sap	0.0	2.0	5.4	IsA	1.0	5.9	0.953	obj_label
3	sentence_dap	0.6	4.0	7.9	IsA	2.5	5.9	0.953	obj_label
4	def_dap	0.4	4.2	9.9	IsA	2.3	5.9	0.953	obj_label
5	lsp_dap	0.0	1.7000000000000002	5.7	IsA	1.0	5.9	0.953	obj_label
6	def_sap_uniform	0.7000000000000001	6.1	11.799999999999999	IsA	3.0	5.9	0.953	obj_label
7	lsp_sap_uniform	0.0	2.0	5.4	IsA	1.0	5.9	0.953	obj_label
8	def_dap_uniform	0.4	4.2	9.9	IsA	2.3	5.9	0.953	obj_label
9	lsp_dap_uniform	0.0	1.7000000000000002	5.7	IsA	1.0	5.9	0.953	obj_label
