	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	3.6999999999999997	14.499999999999998	14.499999999999998	IsA	7.3	4.16	1.0	sub_sister
1	anchor_col_all	3.6999999999999997	14.499999999999998	22.3	IsA	8.4	4.16	1.0	sub_sister
0	sentence	2.7	9.9	16.5	IsA	6.4	4.16	1.0	obj_label
1	def_sap	0.8	7.1	12.5	IsA	3.5000000000000004	4.16	1.0	obj_label
2	lsp_sap	0.0	2.4	5.6000000000000005	IsA	1.0999999999999999	4.16	1.0	obj_label
3	sentence_dap	0.8999999999999999	4.9	9.2	IsA	3.3000000000000003	4.16	1.0	obj_label
4	def_dap	0.4	5.6000000000000005	11.899999999999999	IsA	2.8000000000000003	4.16	1.0	obj_label
5	lsp_dap	0.0	2.8000000000000003	7.3	IsA	1.3	4.16	1.0	obj_label
6	def_sap_uniform	0.8	7.1	12.5	IsA	3.5000000000000004	4.16	1.0	obj_label
7	lsp_sap_uniform	0.0	2.4	5.6000000000000005	IsA	1.0999999999999999	4.16	1.0	obj_label
8	def_dap_uniform	0.4	5.6000000000000005	11.899999999999999	IsA	2.8000000000000003	4.16	1.0	obj_label
9	lsp_dap_uniform	0.0	2.8000000000000003	7.3	IsA	1.3	4.16	1.0	obj_label
