	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	67.80000000000001	91.8	91.8	IsA	77.10000000000001	6.57	0.878	sub_sister
1	anchor_col_all	67.80000000000001	91.8	95.6	IsA	77.60000000000001	6.57	0.878	sub_sister
0	sentence	8.799999999999999	19.8	25.5	IsA	14.2	6.57	0.878	obj_label
1	def_sap	8.799999999999999	19.8	26.1	IsA	13.8	6.57	0.878	obj_label
2	lsp_sap	10.9	25.900000000000002	36.4	IsA	17.2	6.57	0.878	obj_label
3	sentence_dap	8.5	19.7	24.0	IsA	13.600000000000001	6.57	0.878	obj_label
4	def_dap	10.299999999999999	21.099999999999998	28.299999999999997	IsA	15.299999999999999	6.57	0.878	obj_label
5	lsp_dap	10.7	23.400000000000002	32.4	IsA	16.2	6.57	0.878	obj_label
6	def_sap_uniform	8.799999999999999	19.8	26.1	IsA	13.8	6.57	0.878	obj_label
7	lsp_sap_uniform	11.1	26.5	37.1	IsA	17.5	6.57	0.878	obj_label
8	def_dap_uniform	10.299999999999999	21.099999999999998	28.299999999999997	IsA	15.299999999999999	6.57	0.878	obj_label
9	lsp_dap_uniform	11.0	23.7	32.9	IsA	16.6	6.57	0.878	obj_label
