	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	67.0	93.30000000000001	93.30000000000001	IsA	77.4	6.16	0.947	sub_sister
1	anchor_col_all	67.0	93.30000000000001	95.6	IsA	77.7	6.16	0.947	sub_sister
0	sentence	8.799999999999999	19.8	25.5	IsA	14.2	6.16	0.947	obj_label
1	def_sap	8.799999999999999	19.8	26.1	IsA	13.8	6.16	0.947	obj_label
2	lsp_sap	10.9	25.900000000000002	36.4	IsA	17.2	6.16	0.947	obj_label
3	sentence_dap	9.1	20.4	24.6	IsA	14.2	6.16	0.947	obj_label
4	def_dap	10.299999999999999	21.099999999999998	29.099999999999998	IsA	15.4	6.16	0.947	obj_label
5	lsp_dap	10.8	23.7	32.4	IsA	16.400000000000002	6.16	0.947	obj_label
6	def_sap_uniform	8.799999999999999	19.8	26.1	IsA	13.8	6.16	0.947	obj_label
7	lsp_sap_uniform	11.1	26.5	37.1	IsA	17.5	6.16	0.947	obj_label
8	def_dap_uniform	10.299999999999999	21.099999999999998	29.099999999999998	IsA	15.4	6.16	0.947	obj_label
9	lsp_dap_uniform	11.200000000000001	24.099999999999998	32.9	IsA	16.8	6.16	0.947	obj_label
