	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	62.0	93.7	93.7	IsA	74.9	4.21	1.0	sub_sister
1	anchor_col_all	62.0	93.7	97.6	IsA	75.5	4.21	1.0	sub_sister
0	sentence	8.799999999999999	19.8	25.5	IsA	14.2	4.21	1.0	obj_label
1	def_sap	8.799999999999999	19.8	26.1	IsA	13.8	4.21	1.0	obj_label
2	lsp_sap	10.9	25.900000000000002	36.4	IsA	17.2	4.21	1.0	obj_label
3	sentence_dap	9.9	20.8	26.3	IsA	15.1	4.21	1.0	obj_label
4	def_dap	10.299999999999999	22.6	28.4	IsA	15.7	4.21	1.0	obj_label
5	lsp_dap	11.799999999999999	24.0	33.5	IsA	17.2	4.21	1.0	obj_label
6	def_sap_uniform	8.799999999999999	19.8	26.1	IsA	13.8	4.21	1.0	obj_label
7	lsp_sap_uniform	11.1	26.5	37.1	IsA	17.5	4.21	1.0	obj_label
8	def_dap_uniform	10.299999999999999	22.6	28.4	IsA	15.7	4.21	1.0	obj_label
9	lsp_dap_uniform	12.1	24.4	34.0	IsA	17.5	4.21	1.0	obj_label
