	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	15.7	42.199999999999996	51.9	IsA	27.0	15.7	8.799999999999999	25.7	22.3	26.900000000000002	27.200000000000003	5.09	0.97
1	def_sap	7.000000000000001	28.999999999999996	39.300000000000004	IsA	16.1	7.000000000000001	3.9	14.7	15.6	16.1	20.9	5.09	0.97
2	lsp_sap	16.2	39.300000000000004	50.3	IsA	25.900000000000002	16.2	8.9	24.3	22.2	25.0	29.5	5.09	0.97
3	sentence_dap	22.7	41.0	51.800000000000004	IsA	30.599999999999998	22.7	12.4	29.2	21.7	30.599999999999998	27.3	5.09	0.97
4	def_dap	12.2	37.3	47.8	IsA	23.0	12.2	6.7	21.6	19.8	23.0	25.0	5.09	0.97
5	lsp_dap	18.0	38.5	48.699999999999996	IsA	26.700000000000003	18.0	9.8	25.2	21.6	26.0	28.1	5.09	0.97
6	def_sap_uniform	7.000000000000001	28.999999999999996	39.300000000000004	IsA	16.1	7.000000000000001	3.9	14.7	15.6	16.1	20.8	5.09	0.97
7	lsp_sap_uniform	16.1	39.300000000000004	50.4	IsA	25.900000000000002	16.1	8.799999999999999	23.200000000000003	20.8	23.599999999999998	26.3	5.09	0.97
8	def_dap_uniform	12.2	37.3	47.8	IsA	23.0	12.2	6.7	21.6	19.8	23.0	25.0	5.09	0.97
9	lsp_dap_uniform	18.0	38.4	48.699999999999996	IsA	26.6	18.0	9.8	24.5	20.200000000000003	24.8	25.4	5.09	0.97
