	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	21.9	43.7	51.9	IsA	31.1	21.9	12.0	30.0	23.0	31.0	27.200000000000003	4.08	0.975
1	def_sap	8.799999999999999	31.8	42.0	IsA	18.6	8.799999999999999	4.9	17.299999999999997	17.1	18.6	22.2	4.08	0.975
2	lsp_sap	13.700000000000001	33.4	44.3	IsA	22.1	13.700000000000001	7.6	19.900000000000002	23.400000000000002	20.599999999999998	33.0	4.08	0.975
3	sentence_dap	24.8	45.1	52.6	IsA	33.5	24.8	13.0	32.5	23.400000000000002	33.300000000000004	27.400000000000002	4.08	0.975
4	def_dap	12.4	35.8	44.6	IsA	22.400000000000002	12.4	6.6000000000000005	21.3	18.7	22.400000000000002	23.1	4.08	0.975
5	lsp_dap	18.3	37.5	46.5	IsA	26.3	18.3	9.700000000000001	24.0	27.200000000000003	24.099999999999998	36.3	4.08	0.975
6	def_sap_uniform	8.799999999999999	31.7	41.9	IsA	18.6	8.799999999999999	4.9	17.2	17.0	18.6	22.1	4.08	0.975
7	lsp_sap_uniform	13.600000000000001	33.4	44.1	IsA	22.0	13.600000000000001	7.6	17.599999999999998	17.8	17.5	23.200000000000003	4.08	0.975
8	def_dap_uniform	12.4	35.699999999999996	44.5	IsA	22.400000000000002	12.4	6.6000000000000005	21.3	18.6	22.400000000000002	23.0	4.08	0.975
9	lsp_dap_uniform	18.3	37.7	47.199999999999996	IsA	26.400000000000002	18.3	9.700000000000001	21.2	19.6	20.599999999999998	24.6	4.08	0.975
