	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	21.9	43.7	51.9	IsA	31.1	21.9	12.0	30.0	23.0	31.0	27.200000000000003	6.17	0.94
3	sentence_dap	20.200000000000003	42.199999999999996	53.400000000000006	IsA	29.599999999999998	20.200000000000003	11.0	28.1	22.3	29.599999999999998	28.000000000000004	6.17	0.94
1	def_sap	8.799999999999999	31.8	42.0	IsA	18.6	8.799999999999999	4.9	17.299999999999997	17.1	18.6	22.2	6.17	0.94
4	def_dap	10.6	33.1	43.9	IsA	20.3	10.6	5.8999999999999995	18.9	17.7	20.3	23.1	6.17	0.94
2	lsp_sap	13.700000000000001	33.4	44.3	IsA	22.1	13.700000000000001	7.6	19.900000000000002	23.400000000000002	20.599999999999998	33.0	6.17	0.94
5	lsp_dap	17.5	35.199999999999996	44.5	IsA	24.7	17.5	9.5	22.6	25.3	22.8	34.699999999999996	6.17	0.94
6	def_sap_uniform	8.799999999999999	31.7	41.9	IsA	18.6	8.799999999999999	4.9	17.2	17.0	18.6	22.1	6.17	0.94
7	lsp_sap_uniform	13.600000000000001	33.4	44.1	IsA	22.0	13.600000000000001	7.6	17.599999999999998	17.8	17.5	23.200000000000003	6.17	0.94
8	def_dap_uniform	10.6	33.1	43.8	IsA	20.3	10.6	5.8999999999999995	18.9	17.7	20.3	23.0	6.17	0.94
9	lsp_dap_uniform	17.5	35.099999999999994	44.4	IsA	24.7	17.5	9.5	20.1	18.6	19.400000000000002	23.3	6.17	0.94
