	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	33.5	18.7	11.799999999999999	IsA	48.0	33.5	13.0	44.4	40.0	43.5	50.6	4.17	0.985
1	def_sap	33.5	18.8	11.899999999999999	IsA	47.599999999999994	33.5	13.0	44.5	40.0	43.6	50.8	4.17	0.985
2	lsp_sap	52.900000000000006	22.0	13.8	IsA	62.1	52.900000000000006	24.7	56.89999999999999	49.3	54.7	59.599999999999994	4.17	0.985
3	sentence_dap	38.3	19.2	12.2	IsA	52.800000000000004	38.3	17.7	48.3	41.5	47.199999999999996	52.7	4.17	0.985
4	def_dap	45.6	21.3	13.100000000000001	IsA	58.4	45.6	19.900000000000002	54.2	46.6	52.800000000000004	56.2	4.17	0.985
5	lsp_dap	50.6	21.8	13.8	IsA	60.9	50.6	23.7	55.7	48.1	53.2	59.599999999999994	4.17	0.985
6	def_sap_uniform	33.5	18.8	11.899999999999999	IsA	47.599999999999994	33.5	13.0	44.5	40.0	43.6	50.8	4.17	0.985
7	lsp_sap_uniform	53.1	22.1	13.8	IsA	62.4	53.1	24.7	57.199999999999996	49.4	54.900000000000006	59.699999999999996	4.17	0.985
8	def_dap_uniform	45.6	21.3	13.100000000000001	IsA	58.4	45.6	19.900000000000002	54.2	46.6	52.800000000000004	56.2	4.17	0.985
9	lsp_dap_uniform	50.6	21.8	13.8	IsA	61.0	50.6	23.7	55.800000000000004	48.199999999999996	53.400000000000006	59.699999999999996	4.17	0.985
