	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	30.2	50.0	58.599999999999994	IsA	38.7	6.88	0.937	sub_sister
1	anchor_col_all	30.2	50.0	58.599999999999994	IsA	38.7	6.88	0.937	sub_sister
0	sentence	27.900000000000002	49.4	57.099999999999994	IsA	37.7	6.88	0.937	obj_label
1	def_sap	15.5	39.4	48.4	IsA	25.7	6.88	0.937	obj_label
2	lsp_sap	21.8	46.300000000000004	56.39999999999999	IsA	31.7	6.88	0.937	obj_label
3	sentence_dap	24.5	46.9	54.7	IsA	34.699999999999996	6.88	0.937	obj_label
4	def_dap	18.2	40.400000000000006	50.2	IsA	27.800000000000004	6.88	0.937	obj_label
5	lsp_dap	19.1	43.5	52.1	IsA	28.799999999999997	6.88	0.937	obj_label
6	def_sap_uniform	15.5	39.4	48.4	IsA	25.7	6.88	0.937	obj_label
7	lsp_sap_uniform	21.8	46.400000000000006	56.599999999999994	IsA	31.8	6.88	0.937	obj_label
8	def_dap_uniform	18.2	40.400000000000006	50.2	IsA	27.800000000000004	6.88	0.937	obj_label
9	lsp_dap_uniform	19.2	43.7	52.2	IsA	28.9	6.88	0.937	obj_label
