	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	43.0	24.3	15.8	IsA	61.1	43.0	8.6	57.599999999999994	21.8	55.400000000000006	27.700000000000003	6.06	0.895
1	def_sap	43.0	24.3	16.1	IsA	61.0	43.0	8.6	57.599999999999994	21.8	55.300000000000004	28.199999999999996	6.06	0.895
2	lsp_sap	67.0	30.7	22.5	IsA	78.10000000000001	67.0	14.299999999999999	72.2	26.900000000000002	63.3	38.0	6.06	0.895
3	sentence_dap	53.5	23.9	15.299999999999999	IsA	68.4	53.5	11.200000000000001	64.8	22.2	60.5	26.8	6.06	0.895
4	def_dap	60.5	26.700000000000003	17.8	IsA	74.0	60.5	12.0	70.1	24.2	64.3	30.5	6.06	0.895
5	lsp_dap	64.5	28.799999999999997	20.7	IsA	77.3	64.5	13.8	71.5	26.0	62.9	35.9	6.06	0.895
6	def_sap_uniform	43.0	24.3	16.1	IsA	61.0	43.0	8.6	57.599999999999994	21.8	55.300000000000004	28.199999999999996	6.06	0.895
7	lsp_sap_uniform	68.0	31.4	23.0	IsA	79.10000000000001	68.0	14.399999999999999	73.1	27.3	63.9	38.7	6.06	0.895
8	def_dap_uniform	60.5	26.700000000000003	17.8	IsA	74.0	60.5	12.0	70.1	24.2	64.3	30.5	6.06	0.895
9	lsp_dap_uniform	66.0	29.299999999999997	21.099999999999998	IsA	78.4	66.0	13.900000000000002	72.7	26.3	63.3	36.3	6.06	0.895
