	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	43.0	24.3	15.8	IsA	61.1	43.0	8.6	57.599999999999994	21.8	55.400000000000006	27.700000000000003	5.87	0.954
1	def_sap	43.0	24.3	16.1	IsA	61.0	43.0	8.6	57.599999999999994	21.8	55.300000000000004	28.199999999999996	5.87	0.954
2	lsp_sap	67.0	30.7	22.5	IsA	78.10000000000001	67.0	14.299999999999999	72.2	26.900000000000002	63.3	38.0	5.87	0.954
3	sentence_dap	56.00000000000001	24.5	15.4	IsA	69.89999999999999	56.00000000000001	11.5	64.3	22.5	61.0	27.0	5.87	0.954
4	def_dap	61.0	26.6	18.099999999999998	IsA	73.8	61.0	12.2	69.69999999999999	24.0	64.0	30.7	5.87	0.954
5	lsp_dap	66.5	29.799999999999997	20.599999999999998	IsA	78.7	66.5	14.000000000000002	72.2	26.5	64.4	35.3	5.87	0.954
6	def_sap_uniform	43.0	24.3	16.1	IsA	61.0	43.0	8.6	57.599999999999994	21.8	55.300000000000004	28.199999999999996	5.87	0.954
7	lsp_sap_uniform	68.0	31.4	23.0	IsA	79.10000000000001	68.0	14.399999999999999	73.1	27.3	63.9	38.7	5.87	0.954
8	def_dap_uniform	61.0	26.6	18.099999999999998	IsA	73.8	61.0	12.2	69.69999999999999	24.0	64.0	30.7	5.87	0.954
9	lsp_dap_uniform	68.0	30.3	20.9	IsA	79.9	68.0	14.2	73.3	26.8	65.0	35.8	5.87	0.954
