	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	43.0	24.3	15.8	IsA	61.1	43.0	8.6	57.599999999999994	21.8	55.400000000000006	27.700000000000003	3.75	1.0
1	def_sap	43.0	24.3	16.1	IsA	61.0	43.0	8.6	57.599999999999994	21.8	55.300000000000004	28.199999999999996	3.75	1.0
2	lsp_sap	67.0	30.7	22.5	IsA	78.10000000000001	67.0	14.299999999999999	72.2	26.900000000000002	63.3	38.0	3.75	1.0
3	sentence_dap	59.0	25.6	16.6	IsA	72.89999999999999	59.0	12.3	68.7	23.200000000000003	63.800000000000004	28.4	3.75	1.0
4	def_dap	64.0	28.000000000000004	18.7	IsA	76.3	64.0	12.9	72.2	24.8	66.3	31.1	3.75	1.0
5	lsp_dap	70.5	30.099999999999998	22.0	IsA	81.10000000000001	70.5	14.799999999999999	76.1	26.900000000000002	65.10000000000001	37.7	3.75	1.0
6	def_sap_uniform	43.0	24.3	16.1	IsA	61.0	43.0	8.6	57.599999999999994	21.8	55.300000000000004	28.199999999999996	3.75	1.0
7	lsp_sap_uniform	68.0	31.4	23.0	IsA	79.10000000000001	68.0	14.399999999999999	73.1	27.3	63.9	38.7	3.75	1.0
8	def_dap_uniform	64.0	28.000000000000004	18.7	IsA	76.3	64.0	12.9	72.2	24.8	66.3	31.1	3.75	1.0
9	lsp_dap_uniform	71.5	30.599999999999998	22.3	IsA	82.0	71.5	14.899999999999999	76.9	27.200000000000003	65.7	38.1	3.75	1.0
