	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	56.00000000000001	86.0	95.0	IsA	69.39999999999999	56.00000000000001	10.6	65.60000000000001	22.6	61.9	28.999999999999996	6.53	0.879
1	def_sap	56.00000000000001	86.0	95.0	IsA	69.1	56.00000000000001	10.6	65.60000000000001	22.6	61.9	28.999999999999996	6.53	0.879
2	lsp_sap	69.0	97.0	98.0	IsA	80.5	69.0	14.499999999999998	74.1	29.299999999999997	65.5	39.800000000000004	6.53	0.879
3	sentence_dap	55.00000000000001	92.0	94.0	IsA	70.39999999999999	55.00000000000001	11.5	65.8	23.3	62.3	27.200000000000003	6.53	0.879
4	def_dap	65.0	94.0	98.0	IsA	77.0	65.0	13.0	72.89999999999999	25.7	67.30000000000001	31.8	6.53	0.879
5	lsp_dap	68.0	97.0	98.5	IsA	79.7	68.0	14.099999999999998	74.4	27.200000000000003	65.3	37.4	6.53	0.879
6	def_sap_uniform	56.00000000000001	86.0	95.0	IsA	69.1	56.00000000000001	10.6	65.60000000000001	22.6	61.9	28.999999999999996	6.53	0.879
7	lsp_sap_uniform	69.0	97.0	98.0	IsA	80.5	69.0	14.499999999999998	74.1	29.299999999999997	65.5	39.800000000000004	6.53	0.879
8	def_dap_uniform	65.0	94.0	98.0	IsA	77.0	65.0	13.0	72.89999999999999	25.7	67.30000000000001	31.8	6.53	0.879
9	lsp_dap_uniform	68.0	97.0	98.5	IsA	79.7	68.0	14.099999999999998	74.4	27.200000000000003	65.3	37.4	6.53	0.879
