	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	56.00000000000001	86.0	95.0	IsA	69.39999999999999	56.00000000000001	10.6	65.60000000000001	22.6	61.9	28.999999999999996	4.22	0.995
1	def_sap	56.00000000000001	86.0	95.0	IsA	69.1	56.00000000000001	10.6	65.60000000000001	22.6	61.9	28.999999999999996	4.22	0.995
2	lsp_sap	69.0	97.0	98.0	IsA	80.5	69.0	14.499999999999998	74.1	29.299999999999997	65.5	39.800000000000004	4.22	0.995
3	sentence_dap	63.5	90.5	97.0	IsA	75.8	63.5	12.9	70.6	24.099999999999998	66.8	29.099999999999998	4.22	0.995
4	def_dap	67.0	94.0	97.0	IsA	78.3	67.0	13.3	74.4	25.3	69.69999999999999	30.2	4.22	0.995
5	lsp_dap	73.5	96.5	98.5	IsA	83.39999999999999	73.5	14.899999999999999	77.0	27.0	65.2	39.800000000000004	4.22	0.995
6	def_sap_uniform	56.00000000000001	86.0	95.0	IsA	69.1	56.00000000000001	10.6	65.60000000000001	22.6	61.9	28.999999999999996	4.22	0.995
7	lsp_sap_uniform	69.0	97.0	98.0	IsA	80.5	69.0	14.499999999999998	74.1	29.299999999999997	65.5	39.800000000000004	4.22	0.995
8	def_dap_uniform	67.0	94.0	97.0	IsA	78.3	67.0	13.3	74.4	25.3	69.69999999999999	30.2	4.22	0.995
9	lsp_dap_uniform	73.5	96.5	98.5	IsA	83.39999999999999	73.5	14.899999999999999	77.0	27.0	65.2	39.800000000000004	4.22	0.995
