	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	0.0	0.0	0.0	IsA	0.0	8.2	0.7	sub_sister
1	anchor_col_all	0.0	0.0	40.0	IsA	5.1	8.2	0.7	sub_sister
0	sentence	40.0	60.0	80.0	IsA	46.5	8.2	0.7	obj_label
1	def_sap	0.0	20.0	40.0	IsA	9.2	8.2	0.7	obj_label
2	lsp_sap	0.0	40.0	40.0	IsA	15.0	8.2	0.7	obj_label
3	sentence_dap	60.0	60.0	80.0	IsA	62.2	8.2	0.7	obj_label
4	def_dap	20.0	20.0	40.0	IsA	22.0	8.2	0.7	obj_label
5	lsp_dap	0.0	20.0	40.0	IsA	8.3	8.2	0.7	obj_label
6	def_sap_uniform	0.0	20.0	40.0	IsA	9.2	8.2	0.7	obj_label
7	lsp_sap_uniform	0.0	40.0	40.0	IsA	15.0	8.2	0.7	obj_label
8	def_dap_uniform	20.0	20.0	40.0	IsA	22.0	8.2	0.7	obj_label
9	lsp_dap_uniform	0.0	20.0	40.0	IsA	8.3	8.2	0.7	obj_label
