	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	45.0	25.8	16.6	IsA	62.5	45.0	7.6	58.9	21.099999999999998	56.49999999999999	26.8	3.75	1.0
1	def_sap	45.0	25.8	16.900000000000002	IsA	62.4	45.0	7.6	58.9	21.099999999999998	56.3	27.3	3.75	1.0
2	lsp_sap	71.0	32.800000000000004	23.9	IsA	80.80000000000001	71.0	13.200000000000001	73.6	27.1	63.6	38.800000000000004	3.75	1.0
3	sentence_dap	59.5	25.6	16.7	IsA	72.3	59.5	10.4	67.10000000000001	20.8	62.6	26.6	3.75	1.0
4	def_dap	67.5	28.9	19.400000000000002	IsA	78.9	67.5	11.799999999999999	74.5	23.5	67.7	30.099999999999998	3.75	1.0
5	lsp_dap	74.5	31.900000000000002	23.400000000000002	IsA	83.89999999999999	74.5	13.600000000000001	78.0	26.3	65.2	38.1	3.75	1.0
6	def_sap_uniform	45.0	25.8	16.900000000000002	IsA	62.4	45.0	7.6	58.9	21.099999999999998	56.3	27.3	3.75	1.0
7	lsp_sap_uniform	72.0	33.5	24.4	IsA	81.69999999999999	72.0	13.3	74.5	27.6	64.2	39.5	3.75	1.0
8	def_dap_uniform	67.5	28.9	19.400000000000002	IsA	78.9	67.5	11.799999999999999	74.5	23.5	67.7	30.099999999999998	3.75	1.0
9	lsp_dap_uniform	75.5	32.4	23.7	IsA	84.8	75.5	13.700000000000001	78.8	26.6	65.7	38.5	3.75	1.0
