	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	41.199999999999996	56.89999999999999	56.89999999999999	IsA	46.7	6.59	0.877	sub_sister
1	anchor_col_all	41.199999999999996	56.89999999999999	68.4	IsA	48.3	6.59	0.877	sub_sister
0	sentence	8.7	20.1	25.6	IsA	14.299999999999999	6.59	0.877	obj_label
1	def_sap	8.7	20.1	26.1	IsA	13.900000000000002	6.59	0.877	obj_label
2	lsp_sap	10.9	26.5	36.7	IsA	17.299999999999997	6.59	0.877	obj_label
3	sentence_dap	8.0	18.6	23.400000000000002	IsA	13.0	6.59	0.877	obj_label
4	def_dap	10.0	20.9	28.4	IsA	15.1	6.59	0.877	obj_label
5	lsp_dap	10.7	23.400000000000002	32.800000000000004	IsA	16.3	6.59	0.877	obj_label
6	def_sap_uniform	8.7	20.1	26.1	IsA	13.900000000000002	6.59	0.877	obj_label
7	lsp_sap_uniform	11.1	27.0	37.5	IsA	17.599999999999998	6.59	0.877	obj_label
8	def_dap_uniform	10.0	20.9	28.4	IsA	15.1	6.59	0.877	obj_label
9	lsp_dap_uniform	11.0	23.7	33.300000000000004	IsA	16.6	6.59	0.877	obj_label
