	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	9.0	20.5	26.3	IsA	14.2	9.0	4.9	13.4	11.5	14.2	14.7	3.65	0.998
1	def_sap	9.0	20.5	26.3	IsA	14.2	9.0	4.9	13.4	11.5	14.2	14.7	3.65	0.998
2	lsp_sap	7.6	19.900000000000002	27.500000000000004	IsA	13.0	7.6	4.6	11.700000000000001	14.6	12.3	21.4	3.65	0.998
3	sentence_dap	11.4	24.3	31.1	IsA	17.0	11.4	6.6000000000000005	16.1	13.600000000000001	17.0	17.2	3.65	0.998
4	def_dap	11.3	23.9	31.0	IsA	16.900000000000002	11.3	6.5	16.0	13.4	16.900000000000002	17.2	3.65	0.998
5	lsp_dap	9.2	22.400000000000002	30.2	IsA	15.0	9.2	5.2	13.200000000000001	17.8	13.900000000000002	24.9	3.65	0.998
6	def_sap_uniform	9.0	20.5	26.3	IsA	14.2	9.0	4.9	13.4	11.5	14.2	14.7	3.65	0.998
7	lsp_sap_uniform	8.200000000000001	20.200000000000003	27.6	IsA	13.4	8.200000000000001	5.2	10.6	12.1	10.7	16.6	3.65	0.998
8	def_dap_uniform	11.3	23.9	31.0	IsA	16.900000000000002	11.3	6.5	16.0	13.4	16.900000000000002	17.1	3.65	0.998
9	lsp_dap_uniform	11.1	22.7	30.4	IsA	16.2	11.1	7.199999999999999	12.5	13.8	12.6	18.3	3.65	0.998
