	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	12.5	7.8	5.1	IsA	23.0	12.5	9.8	20.599999999999998	31.8	21.8	41.4	4.38	0.99
1	def_sap	12.5	8.0	5.2	IsA	22.5	12.5	9.8	20.8	32.4	22.1	42.6	4.38	0.99
2	lsp_sap	16.7	9.0	6.0	IsA	26.6	16.7	13.3	24.7	36.6	25.8	48.4	4.38	0.99
3	sentence_dap	13.0	7.7	5.2	IsA	23.400000000000002	13.0	10.299999999999999	20.8	31.4	22.0	42.199999999999996	4.38	0.99
4	def_dap	17.599999999999998	9.5	6.3	IsA	28.4	17.599999999999998	14.099999999999998	26.3	38.9	27.800000000000004	52.300000000000004	4.38	0.99
5	lsp_dap	17.0	9.2	6.0	IsA	27.400000000000002	17.0	13.100000000000001	25.1	37.1	26.400000000000002	48.8	4.38	0.99
6	def_sap_uniform	12.5	8.0	5.2	IsA	22.5	12.5	9.8	20.8	32.4	22.1	42.6	4.38	0.99
7	lsp_sap_uniform	17.299999999999997	9.5	6.3	IsA	27.900000000000002	17.299999999999997	13.700000000000001	25.8	38.7	27.0	51.5	4.38	0.99
8	def_dap_uniform	17.599999999999998	9.5	6.3	IsA	28.4	17.599999999999998	14.099999999999998	26.3	38.9	27.800000000000004	52.300000000000004	4.38	0.99
9	lsp_dap_uniform	17.599999999999998	9.8	6.4	IsA	28.599999999999998	17.599999999999998	13.600000000000001	26.3	39.4	27.6	51.9	4.38	0.99
