	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	22.6	42.5	42.5	IsA	29.9	7.63	0.889	sub_sister
1	anchor_col_all	22.6	42.5	52.300000000000004	IsA	31.3	7.63	0.889	sub_sister
0	sentence	12.6	34.1	43.0	IsA	22.400000000000002	7.63	0.889	obj_label
1	def_sap	12.6	34.699999999999996	44.3	IsA	22.0	7.63	0.889	obj_label
2	lsp_sap	14.799999999999999	39.6	50.5	IsA	24.9	7.63	0.889	obj_label
3	sentence_dap	11.5	29.299999999999997	40.6	IsA	20.0	7.63	0.889	obj_label
4	def_dap	13.0	34.4	47.599999999999994	IsA	22.6	7.63	0.889	obj_label
5	lsp_dap	13.600000000000001	37.1	48.699999999999996	IsA	23.400000000000002	7.63	0.889	obj_label
6	def_sap_uniform	12.6	34.699999999999996	44.3	IsA	22.0	7.63	0.889	obj_label
7	lsp_sap_uniform	15.2	41.699999999999996	53.400000000000006	IsA	26.0	7.63	0.889	obj_label
8	def_dap_uniform	13.0	34.4	47.599999999999994	IsA	22.6	7.63	0.889	obj_label
9	lsp_dap_uniform	14.2	38.9	51.6	IsA	24.4	7.63	0.889	obj_label
