	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	23.599999999999998	45.1	45.1	IsA	31.6	7.39	0.916	sub_sister
1	anchor_col_all	23.599999999999998	45.1	53.900000000000006	IsA	32.800000000000004	7.39	0.916	sub_sister
0	sentence	12.6	34.1	43.0	IsA	22.400000000000002	7.39	0.916	obj_label
1	def_sap	12.6	34.699999999999996	44.3	IsA	22.0	7.39	0.916	obj_label
2	lsp_sap	14.799999999999999	39.6	50.5	IsA	24.9	7.39	0.916	obj_label
3	sentence_dap	11.700000000000001	29.099999999999998	40.6	IsA	20.4	7.39	0.916	obj_label
4	def_dap	13.3	35.3	48.1	IsA	23.200000000000003	7.39	0.916	obj_label
5	lsp_dap	13.4	37.8	49.4	IsA	23.5	7.39	0.916	obj_label
6	def_sap_uniform	12.6	34.699999999999996	44.3	IsA	22.0	7.39	0.916	obj_label
7	lsp_sap_uniform	15.2	41.699999999999996	53.400000000000006	IsA	26.0	7.39	0.916	obj_label
8	def_dap_uniform	13.3	35.3	48.1	IsA	23.200000000000003	7.39	0.916	obj_label
9	lsp_dap_uniform	13.900000000000002	39.6	52.300000000000004	IsA	24.6	7.39	0.916	obj_label
