	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	13.4	34.9	44.5	IsA	22.5	13.4	8.0	21.2	20.7	22.5	26.6	4.32	0.994
1	def_sap	13.4	34.9	44.5	IsA	22.5	13.4	8.0	21.2	20.7	22.5	26.6	4.32	0.994
2	lsp_sap	9.5	32.300000000000004	45.1	IsA	19.0	9.5	5.3	16.8	22.900000000000002	17.8	34.699999999999996	4.32	0.994
3	sentence_dap	17.4	42.199999999999996	52.300000000000004	IsA	28.000000000000004	17.4	10.5	26.6	25.1	28.000000000000004	31.0	4.32	0.994
4	def_dap	16.900000000000002	42.4	53.400000000000006	IsA	27.900000000000002	16.900000000000002	10.100000000000001	26.400000000000002	25.3	27.900000000000002	31.7	4.32	0.994
5	lsp_dap	12.6	39.900000000000006	51.300000000000004	IsA	23.9	12.6	6.800000000000001	21.5	29.7	22.2	40.9	4.32	0.994
6	def_sap_uniform	13.3	34.8	44.4	IsA	22.5	13.3	7.9	21.2	20.599999999999998	22.400000000000002	26.5	4.32	0.994
7	lsp_sap_uniform	11.1	34.9	46.9	IsA	21.0	11.1	7.000000000000001	17.2	22.0	17.1	29.4	4.32	0.994
8	def_dap_uniform	16.900000000000002	42.199999999999996	53.1	IsA	27.800000000000004	16.900000000000002	10.100000000000001	26.400000000000002	25.1	27.800000000000004	31.5	4.32	0.994
9	lsp_dap_uniform	15.299999999999999	41.9	53.400000000000006	IsA	26.3	15.299999999999999	9.6	21.4	26.1	21.3	33.0	4.32	0.994
