	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	2.5	1.7000000000000002	1.3	IsA	5.4	2.5	2.3	4.6	7.8	5.1	11.3	4.57	0.413
1	def_sap	2.5	1.7999999999999998	1.3	IsA	5.1	2.5	2.3	4.6	7.9	5.1	11.5	4.57	0.413
2	lsp_sap	4.3	3.5000000000000004	2.5	IsA	9.700000000000001	4.3	4.0	8.7	16.1	9.700000000000001	23.5	4.57	0.413
3	sentence_dap	2.6	1.9	1.5	IsA	6.2	2.6	2.4	4.9	8.6	5.7	14.000000000000002	4.57	0.413
4	def_dap	3.1	2.1999999999999997	1.7000000000000002	IsA	6.5	3.1	2.7	5.7	9.9	6.5	15.5	4.57	0.413
5	lsp_dap	3.5000000000000004	2.8000000000000003	2.1	IsA	8.1	3.5000000000000004	3.2	7.1	12.6	8.0	19.400000000000002	4.57	0.413
6	def_sap_uniform	2.5	1.7999999999999998	1.3	IsA	5.1	2.5	2.3	4.6	7.9	5.1	11.5	4.57	0.413
7	lsp_sap_uniform	4.3999999999999995	3.5000000000000004	2.6	IsA	9.8	4.3999999999999995	4.0	8.7	16.2	9.700000000000001	23.7	4.57	0.413
8	def_dap_uniform	3.1	2.1999999999999997	1.7000000000000002	IsA	6.5	3.1	2.7	5.7	9.9	6.5	15.5	4.57	0.413
9	lsp_dap_uniform	3.5000000000000004	2.8000000000000003	2.1	IsA	8.1	3.5000000000000004	3.2	7.199999999999999	12.7	8.1	19.5	4.57	0.413
