	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	2.6	7.8	11.1	IsA	4.9	2.6	1.5	4.3999999999999995	4.5	4.8	6.3	4.51	0.443
1	def_sap	2.6	7.8	11.1	IsA	4.9	2.6	1.5	4.3999999999999995	4.5	4.8	6.3	4.51	0.443
2	lsp_sap	2.6	12.9	18.9	IsA	6.9	2.6	1.4000000000000001	6.0	7.6	6.6000000000000005	11.899999999999999	4.51	0.443
3	sentence_dap	2.7	9.1	13.8	IsA	5.6000000000000005	2.7	1.6	5.0	5.4	5.6000000000000005	8.1	4.51	0.443
4	def_dap	2.7	9.3	14.099999999999998	IsA	5.6000000000000005	2.7	1.6	5.0	5.5	5.6000000000000005	8.3	4.51	0.443
5	lsp_dap	4.1000000000000005	12.2	17.1	IsA	7.6	4.1000000000000005	2.1	6.800000000000001	7.000000000000001	7.1	10.7	4.51	0.443
6	def_sap_uniform	2.6	7.8	11.1	IsA	4.9	2.6	1.5	4.3999999999999995	4.5	4.8	6.3	4.51	0.443
7	lsp_sap_uniform	4.0	16.3	23.7	IsA	9.2	4.0	2.7	7.8	10.4	8.4	15.299999999999999	4.51	0.443
8	def_dap_uniform	2.7	9.3	14.099999999999998	IsA	5.6000000000000005	2.7	1.6	5.0	5.5	5.6000000000000005	8.200000000000001	4.51	0.443
9	lsp_dap_uniform	5.3	15.1	20.7	IsA	9.5	5.3	3.4000000000000004	8.5	9.4	8.7	13.0	4.51	0.443
