	mask_type	p@1	p@5	p@10	relation	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
1	def_sap	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
2	lsp_sap	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
3	sentence_dap	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
4	def_dap	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
5	lsp_dap	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
6	def_sap_uniform	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
7	lsp_sap_uniform	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
8	def_dap_uniform	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
9	lsp_dap_uniform	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	8.11	0.36
