	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	0.0	0.2	0.3	IsA	0.1	0.0	0.0	0.0	0.2	0.1	0.3	10.09	0.885
1	def_sap	1.0	3.3000000000000003	4.7	IsA	2.1999999999999997	1.0	1.0	2.0	3.3000000000000003	2.1999999999999997	4.7	10.09	0.885
2	lsp_sap	27.6	50.5	63.0	IsA	37.6	27.6	27.6	35.9	50.5	37.6	63.0	10.09	0.885
3	sentence_dap	0.0	0.2	0.3	IsA	0.1	0.0	0.0	0.0	0.2	0.1	0.3	10.09	0.885
4	def_dap	0.0	2.1	2.3	IsA	0.8999999999999999	0.0	0.0	0.8999999999999999	2.1	0.8999999999999999	2.3	10.09	0.885
5	lsp_dap	26.400000000000002	46.0	51.4	IsA	34.599999999999994	26.400000000000002	26.400000000000002	33.800000000000004	46.0	34.599999999999994	51.4	10.09	0.885
6	def_sap_uniform	4.7	19.3	26.900000000000002	IsA	11.0	4.7	4.7	10.0	19.3	11.0	26.900000000000002	10.09	0.885
7	lsp_sap_uniform	27.6	50.5	63.0	IsA	37.6	27.6	27.6	35.9	50.5	36.9	63.0	10.09	0.885
8	def_dap_uniform	2.1	18.6	29.5	IsA	9.4	2.1	2.1	7.9	18.6	9.4	29.5	10.09	0.885
9	lsp_dap_uniform	26.6	46.2	51.7	IsA	34.8	26.6	26.6	33.6	46.2	33.0	51.7	10.09	0.885
