	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	26.0	53.800000000000004	63.2	IsA	37.8	26.0	15.5	36.3	31.0	36.9	36.9	7.9	0.987
1	def_sap	12.3	38.2	48.8	IsA	23.1	12.3	7.199999999999999	21.7	22.0	23.1	28.000000000000004	7.9	0.987
2	lsp_sap	27.400000000000002	50.0	61.3	IsA	37.2	27.400000000000002	15.1	35.5	27.800000000000004	35.9	35.3	7.9	0.987
3	sentence_dap	30.0	51.0	64.9	IsA	39.300000000000004	30.0	17.599999999999998	37.6	29.4	39.1	37.2	7.9	0.987
4	def_dap	20.3	47.599999999999994	61.6	IsA	32.800000000000004	20.3	11.700000000000001	30.9	27.3	32.800000000000004	34.599999999999994	7.9	0.987
5	lsp_dap	37.7	56.8	66.0	IsA	45.9	37.7	21.0	44.7	31.4	45.1	37.5	7.9	0.987
6	def_sap_uniform	12.3	38.2	48.8	IsA	23.1	12.3	7.199999999999999	21.7	22.0	23.1	28.000000000000004	7.9	0.987
7	lsp_sap_uniform	27.400000000000002	50.0	61.5	IsA	37.2	27.400000000000002	15.1	34.9	27.200000000000003	34.699999999999996	33.4	7.9	0.987
8	def_dap_uniform	20.3	47.599999999999994	61.6	IsA	32.800000000000004	20.3	11.700000000000001	30.9	27.3	32.800000000000004	34.599999999999994	7.9	0.987
9	lsp_dap_uniform	37.7	56.8	66.0	IsA	45.9	37.7	21.0	44.1	31.4	43.9	36.3	7.9	0.987
