	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	24.8	9.4	5.4	IsA	35.0	24.8	24.8	33.4	46.9	34.4	54.0	6.94	0.992
1	def_sap	12.8	8.0	5.1	IsA	23.9	12.8	12.8	22.400000000000002	39.900000000000006	23.9	50.7	6.94	0.992
2	lsp_sap	27.3	9.0	5.5	IsA	35.3	27.3	27.3	34.0	45.1	35.3	55.00000000000001	6.94	0.992
3	sentence_dap	31.4	9.9	5.8999999999999995	IsA	39.800000000000004	31.4	31.4	38.0	49.3	39.300000000000004	58.699999999999996	6.94	0.992
4	def_dap	23.1	10.7	6.5	IsA	36.3	23.1	23.1	34.8	53.5	36.3	65.10000000000001	6.94	0.992
5	lsp_dap	39.1	10.8	6.1	IsA	45.7	39.1	39.1	44.7	53.800000000000004	45.7	60.6	6.94	0.992
6	def_sap_uniform	12.8	8.0	5.1	IsA	23.9	12.8	12.8	22.400000000000002	39.900000000000006	23.9	50.7	6.94	0.992
7	lsp_sap_uniform	30.2	10.5	6.5	IsA	40.0	30.2	30.2	38.3	52.300000000000004	39.900000000000006	65.3	6.94	0.992
8	def_dap_uniform	23.1	10.7	6.5	IsA	36.3	23.1	23.1	34.8	53.5	36.3	65.10000000000001	6.94	0.992
9	lsp_dap_uniform	42.5	12.4	7.1	IsA	51.1	42.5	42.5	49.9	62.2	51.0	71.0	6.94	0.992
