	mask_type	p@1	p@5	p@10	relation	mrr	anchor_wordnet_avg_path	anchor_wordnet_coverage	label
0	subj_anchors_sg	30.2	41.8	42.199999999999996	IsA	35.8	7.65	0.988	sub_sister
1	anchor_col_all	30.2	41.8	42.199999999999996	IsA	35.8	7.65	0.988	sub_sister
0	sentence	25.900000000000002	47.0	54.2	IsA	35.8	7.65	0.988	obj_label
1	def_sap	13.4	41.0	50.9	IsA	24.5	7.65	0.988	obj_label
2	lsp_sap	27.1	44.1	53.6	IsA	34.8	7.65	0.988	obj_label
3	sentence_dap	23.599999999999998	42.9	53.6	IsA	33.0	7.65	0.988	obj_label
4	def_dap	12.7	38.4	53.5	IsA	24.5	7.65	0.988	obj_label
5	lsp_dap	31.4	56.89999999999999	63.9	IsA	41.5	7.65	0.988	obj_label
6	def_sap_uniform	13.4	41.0	50.9	IsA	24.5	7.65	0.988	obj_label
7	lsp_sap_uniform	30.2	51.2	63.9	IsA	39.7	7.65	0.988	obj_label
8	def_dap_uniform	12.7	38.4	53.5	IsA	24.5	7.65	0.988	obj_label
9	lsp_dap_uniform	34.0	64.2	73.4	IsA	46.0	7.65	0.988	obj_label
