	mask_type	p@1	p@5	p@10	p@9	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	mAP@9	recall@9	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	70.8	95.7	100.0	100.0	IsA	81.6	70.8	70.8	80.9	95.7	81.6	100.0	81.6	100.0	7.27	0.977
1	def_sap	63.0	93.89999999999999	100.0	100.0	IsA	75.5	63.0	63.0	74.6	93.89999999999999	75.5	100.0	75.5	100.0	7.27	0.977
2	lsp_sap	60.9	95.0	100.0	100.0	IsA	74.7	60.9	60.9	74.0	95.0	74.7	100.0	74.7	100.0	7.27	0.977
3	sentence_dap	75.2	91.8	94.6	94.6	IsA	82.19999999999999	75.2	75.2	81.69999999999999	91.8	82.19999999999999	94.6	82.19999999999999	94.6	7.27	0.977
4	def_dap	70.7	91.3	94.6	94.6	IsA	78.7	70.7	70.7	78.2	91.3	78.7	94.6	78.7	94.6	7.27	0.977
5	lsp_dap	70.5	90.3	94.6	94.6	IsA	78.3	70.5	70.5	77.60000000000001	90.3	78.3	94.6	78.3	94.6	7.27	0.977
6	def_sap_uniform	63.0	93.89999999999999	100.0	100.0	IsA	75.5	63.0	63.0	74.6	93.89999999999999	75.5	100.0	75.5	100.0	7.27	0.977
7	lsp_sap_uniform	60.9	95.0	100.0	100.0	IsA	74.7	60.9	60.9	74.0	95.0	74.7	100.0	74.7	100.0	7.27	0.977
8	def_dap_uniform	70.7	91.3	94.6	94.6	IsA	78.7	70.7	70.7	78.2	91.3	78.7	94.6	78.7	94.6	7.27	0.977
9	lsp_dap_uniform	70.5	90.3	94.6	94.6	IsA	78.3	70.5	70.5	77.60000000000001	90.3	78.3	94.6	78.3	94.6	7.27	0.977
