,mask_type,p@1,p@10,relation,mrr,mAP@1,mAP@10
0,mask_incontext,0.2191780821917808,0.4094368340943683,HasA,28.3,0.2191780821917808,0.2828966441980139
1,mask_sap,0.1050228310502283,0.2480974124809741,HasA,15.4,0.1050228310502283,0.15440373511149766
2,mask_dap,0.2085235920852359,0.426179604261796,HasA,27.5,0.2085235920852359,0.27486953685583826
3,mask_sap_dap,0.0684931506849315,0.4459665144596651,HasA,16.3,0.0684931506849315,0.1627908240921939
4,mask_incontext_dap,0.1293759512937595,0.4353120243531202,HasA,19.9,0.1293759512937595,0.19884274359160214
5,mask_incontext,0.27746031746031746,0.5612698412698413,IsA,37.3,0.27746031746031746,0.37265784832451465
6,mask_sap,0.11365079365079366,0.37523809523809526,IsA,19.1,0.11365079365079366,0.19141169060216667
7,mask_dap,0.24,0.5123809523809524,IsA,32.5,0.24,0.3246722096245903
8,mask_sap_dap,0.057777777777777775,0.46095238095238095,IsA,12.6,0.057777777777777775,0.12636356764928167
9,mask_incontext_dap,0.1676190476190476,0.5714285714285714,IsA,26.3,0.1676190476190476,0.2625570672713531
10,mask_incontext,0.25675675675675674,0.5585585585585585,MadeOf,35.4,0.25675675675675674,0.35408980408980417
11,mask_sap,0.18468468468468469,0.42342342342342343,MadeOf,26.1,0.18468468468468469,0.26131667381667384
12,mask_dap,0.22972972972972974,0.481981981981982,MadeOf,30.1,0.22972972972972974,0.3006274131274132
13,mask_sap_dap,0.1036036036036036,0.5855855855855856,MadeOf,21.9,0.1036036036036036,0.21891534391534404
14,mask_incontext_dap,0.14864864864864866,0.5540540540540541,MadeOf,25.5,0.14864864864864866,0.2547744172744174
