,mask_type,p@1,p@10,relation,mrr,mAP@1,mAP@10
0,mask_incontext,0.225177304964539,0.601063829787234,Has,33.2,0.43439716312056736,0.46276066711160413
1,mask_sap,0.11524822695035461,0.28368794326241137,Has,17.5,0.225177304964539,0.28959265591579425
2,mask_dap,0.20390070921985815,0.5815602836879432,Has,31.0,0.39893617021276595,0.4512797066226017
3,mask_sap_dap,0.05851063829787234,0.5939716312056738,Has,19.7,0.1347517730496454,0.3169664802485216
4,mask_incontext_dap,0.0726950354609929,0.5921985815602837,Has,19.8,0.15602836879432624,0.32223775148357153
5,mask_incontext,0.07635009310986965,0.35195530726256985,HasA,15.8,0.11173184357541899,0.2150380198634389
6,mask_sap,0.020484171322160148,0.0856610800744879,HasA,4.0,0.024208566108007448,0.05610534716679968
7,mask_dap,0.07635009310986965,0.43575418994413406,HasA,17.6,0.11173184357541899,0.24147305725518017
8,mask_sap_dap,0.0074487895716946,0.3575418994413408,HasA,9.0,0.0074487895716946,0.13363224557358644
9,mask_incontext_dap,0.0446927374301676,0.40782122905027934,HasA,12.8,0.07635009310986965,0.19048947957001974
10,mask_incontext,0.07032590051457976,0.27101200686106347,Is,12.8,0.4219554030874786,0.5017070963128911
11,mask_sap,0.030874785591766724,0.1183533447684391,Is,5.4,0.14751286449399656,0.24007944448982171
12,mask_dap,0.044596912521440824,0.25728987993138935,Is,10.0,0.3893653516295026,0.4805164288890702
13,mask_sap_dap,0.015437392795883362,0.19039451114922812,Is,5.2,0.11492281303602059,0.2410364596095727
14,mask_incontext_dap,0.0274442538593482,0.2624356775300172,Is,7.5,0.17495711835334476,0.35431254934792633
15,mask_incontext,0.5098814229249012,0.766798418972332,IsA,59.9,0.6185770750988142,0.6516957227555048
16,mask_sap,0.3715415019762846,0.717391304347826,IsA,48.7,0.44861660079051385,0.5435682131877778
17,mask_dap,0.4367588932806324,0.691699604743083,IsA,52.3,0.575098814229249,0.6020523166447077
18,mask_sap_dap,0.1422924901185771,0.7490118577075099,IsA,24.4,0.191699604743083,0.28450322322604915
19,mask_incontext_dap,0.1541501976284585,0.7865612648221344,IsA,31.4,0.20948616600790515,0.358952621452621
