,mask_type,p@1,p@10,relation,mrr,mAP@1,mAP@10
0,mask_incontext,0.225177304964539,0.601063829787234,Has,33.2,0.43439716312056736,0.46276066711160413
1,mask_sap,0.11524822695035461,0.28368794326241137,Has,17.5,0.225177304964539,0.28959265591579425
2,mask_dap,0.15780141843971632,0.5443262411347518,Has,25.5,0.3102836879432624,0.3819023797462243
3,mask_sap_dap,0.05319148936170213,0.5407801418439716,Has,17.1,0.1524822695035461,0.30565604512096356
4,mask_incontext_dap,0.04609929078014184,0.4858156028368794,Has,12.6,0.1276595744680851,0.2603122537431047
5,mask_incontext,0.07635009310986965,0.35195530726256985,HasA,15.8,0.11173184357541899,0.2150380198634389
6,mask_sap,0.020484171322160148,0.0856610800744879,HasA,4.0,0.024208566108007448,0.05610534716679968
7,mask_dap,0.05772811918063315,0.3463687150837989,HasA,13.0,0.08379888268156424,0.1770227380213413
8,mask_sap_dap,0.0074487895716946,0.2774674115456238,HasA,7.2,0.00931098696461825,0.10357598553594843
9,mask_incontext_dap,0.03910614525139665,0.34450651769087526,HasA,10.0,0.09124767225325885,0.1693199284679733
10,mask_incontext,0.07032590051457976,0.27101200686106347,Is,12.8,0.4219554030874786,0.5017070963128911
11,mask_sap,0.030874785591766724,0.1183533447684391,Is,5.4,0.14751286449399656,0.24007944448982171
12,mask_dap,0.048027444253859346,0.20754716981132076,Is,8.8,0.3018867924528302,0.41748738832296733
13,mask_sap_dap,0.017152658662092625,0.17667238421955403,Is,4.8,0.11149228130360206,0.22999708450180154
14,mask_incontext_dap,0.03773584905660377,0.2281303602058319,Is,7.6,0.2555746140651801,0.3686817637289333
15,mask_incontext,0.5098814229249012,0.766798418972332,IsA,59.9,0.6185770750988142,0.6516957227555048
16,mask_sap,0.3715415019762846,0.717391304347826,IsA,48.7,0.44861660079051385,0.5435682131877778
17,mask_dap,0.3201581027667984,0.6541501976284585,IsA,42.4,0.39920948616600793,0.48509931091452796
18,mask_sap_dap,0.08695652173913043,0.6640316205533597,IsA,17.6,0.15217391304347827,0.24107084039149257
19,mask_incontext_dap,0.1007905138339921,0.6897233201581028,IsA,20.7,0.17391304347826086,0.2812226692389735
