word,cohyponyms
blowfly,"['horsefly', 'housefly', 'glossina', 'tzetze', 'tsetse', 'gadfly', 'gnat', 'bluebottle', 'greenbottle', 'botfly', 'clegg', 'cleg', 'gallfly', 'fly', 'hippoboscid', 'mosquito', 'sciarid', 'sciara', 'medfly', 'drosophila', 'anopheline', 'punkie', 'punkey', 'punky', 'midge', 'psychodid', 'sandfly', 'blackfly', 'armyworm']"
sandpiper,"['stilt', 'jacksnipe', 'greyback', 'grayback', 'jabiru', 'plover', 'surfbird', 'woodcock', 'snipe', 'curlew', 'godwit', 'stiltbird', 'longlegs', 'avocet', 'oystercatcher', 'phalarope', 'pratincole', 'glareole', 'courser', 'seriema', 'kildeer', 'killdeer', 'dotrel', 'dotterel', 'lapwing', 'peewit', 'pewit', 'turnstone', 'stint', 'dunlin', 'greenshank', 'redshank', 'yellowlegs', 'knot', 'sanderling', 'ruff', 'tattler', 'dowitcher', 'kaki', 'reeve', 'willet', 'stork', 'shoebill', 'shoebird', 'ibis', 'spoonbill', 'flamingo', 'heron', 'crane', 'courlan', 'limpkin', 'chunga', 'rail', 'bustard', 'hemipode', 'ortygan', 'trumpeter', 'shorebird', 'adjutant', 'marabou', 'marabout', 'openbill', 'saddlebill', 'flinthead', 'egret', 'broadbill', 'boatbill', 'bittern', 'whooper', 'weka', 'crake', 'notornis', 'takahe', 'coot', 'corncrake']"
nuthatch,"['lark', 'snowbird', 'whitethroat', 'firebird', 'honeycreeper', 'oriole', 'catbird', 'nutcracker', 'bluebird', 'goldfinch', 'linnet', 'redpoll', 'yellowbird', 'redbird', 'ricebird', 'redwing', 'blackbird', 'robin', 'chat', 'reedbird', 'butcherbird', 'blackcap', 'grackle', 'flycatcher', 'sparrow', 'redstart', 'ovenbird', 'songster', 'songbird', 'honeysucker', 'accentor', 'wagtail', 'titlark', 'pipit', 'finch', 'weaverbird', 'weaver', 'thrush', 'warbler', 'babbler', 'cackler', 'starling', 'mocker', 'mockingbird', 'thrasher', 'creeper', 'tit', 'titmouse', 'swallow', 'tanager', 'shrike', 'bowerbird', 'dipper', 'vireo', 'waxwing', 'dunnock', 'skylark', 'chaffinch', 'brambling', 'lintwhite', 'siskin', 'canary', 'serin', 'crossbill', 'bullfinch', 'junco', 'bunting', 'grossbeak', 'grosbeak', 'cardinal', 'pyrrhuloxia', 'towhee', 'baya', 'whydah', 'whidah', 'amadavat', 'avadavat', 'grassfinch', 'thickhead', 'whistler', 'throstle', 'mavis', 'fieldfare', 'ousel', 'merl', 'merle', 'ouzel', 'veery', 'nightingale', 'solitaire', 'redtail', 'wheatear', 'redbreast', 'bluethroat', 'gnatcatcher', 'kinglet', 'riflebird', 'meadowlark', 'cazique', 'cacique', 'bobolink', 'minah', 'myna', 'mynah', 'mina', 'crow', 'raven', 'rook', 'jackdaw', 'daw', 'chough', 'jay', 'magpie', 'currawong', 'tichodrome', 'chickadee', 'tomtit', 'bushtit', 'verdin', 'martin', 'cedarbird', 'ortolan', 'yellowhammer', 'snowflake', 'hawfinch', 'cheewink', 'chewink', 'mamo', 'bulbul', 'stonechat', 'whinchat', 'goldcrest', 'tailorbird', 'blackburn', 'blackpoll', 'yellowthroat', 'hangbird', 'cowbird', 'oscine', 'lyrebird', 'scrubbird', 'broadbill', 'tyrannid', 'wren', 'manakin', 'antbird', 'woodhewer', 'woodcreeper', 'pitta', 'kingbird', 'peewit', 'peewee', 'pewit', 'pewee', 'phoebe', 'cotinga', 'chatterer', 'scissortail', 'jaybird', 'petchary', 'bellbird']"
chateau,"['villa', 'dacha', 'lodge', 'residence', 'manse', 'palace', 'abbey', 'boardinghouse', 'bungalow', 'cottage', 'cabin', 'chalet', 'chapterhouse', 'dollhouse', 'duplex', 'farmhouse', 'gatehouse', 'guesthouse', 'hacienda', 'maisonnette', 'maisonette', 'mansion', 'hall', 'saltbox', 'soddy', 'flophouse', 'dosshouse', 'manor', 'castle', 'mcmansion', 'court', 'deanery', 'rectory', 'parsonage', 'vicarage', 'cloister', 'vatican', 'brownstone', 'alcazar', 'alhambra', 'tuileries', 'versailles', 'convent', 'monastery', 'priory', 'nunnery', 'charterhouse', 'friary', 'lamasery']"
zinnia,"['sandwort', 'helleborine', 'strawflower', 'coneflower', 'catchfly', 'wallflower', 'stock', 'gillyflower', 'ageratum', 'cornflower', 'cudweed', 'maravilla', 'twayblade', 'bloomer', 'paeony', 'peony', 'pilewort', 'windflower', 'anemone', 'aquilege', 'columbine', 'aquilegia', 'delphinium', 'nigella', 'spathiphyllum', 'calla', 'pink', 'lychnis', 'soapwort', 'silene', 'campion', 'cowherb', 'umbrellawort', 'portulaca', 'heliophila', 'candytuft', 'schizopetalon', 'poppy', 'corydalis', 'composite', 'ammobium', 'aster', 'daisy', 'calendula', 'catananche', 'bluebottle', 'chrysanthemum', 'mistflower', 'cosmea', 'cosmos', 'dahlia', 'filago', 'gazania', 'sunflower', 'helianthus', 'tidytips', 'marguerite', 'cineraria', 'marigold', 'pyrethrum', 'tithonia', 'ursinia', 'xeranthemum', 'bartonia', 'orchid', 'cyclamen', 'sowbread', 'shortia', 'centaury', 'gentian', 'begonia', 'wandflower', 'bellwort', 'tuberose', 'commelina', 'scabious', 'scabiosa', 'achimenes', 'streptocarpus', 'scorpionweed', 'phacelia', 'snapdragon', 'calceolaria', 'slipperwort', 'gerardia', 'toadflax', 'veronica', 'speedwell', 'browallia', 'petunia', 'schizanthus', 'verbena', 'vervain', 'valerian', 'thimbleweed', 'snowdrop', 'honeysuckle', 'larkspur', 'longroot', 'carnation', 'swallowwort', 'celandine', 'bocconia', 'creamcups', 'everlasting', 'mayweed', 'tansy', 'crownbeard', 'goldilocks', 'ruddles', 'mum', 'mirasol', 'girasol', 'orchis', 'aerides', 'angrecum', 'puttyroot', 'arethusa', 'bletia', 'brassavola', 'caladenia', 'calanthe', 'calypso', 'cattleya', 'coelogyne', 'helmetflower', 'swanflower', 'swanneck', 'cymbid', 'cymbidium', 'cypripedia', 'dendrobium', 'disa', 'epidendron', 'tongueflower', 'laelia', 'liparis', 'masdevallia', 'maxillaria', 'odontoglossum', 'oncidium', 'phaius', 'pleurothallis', 'pogonia', 'greenhood', 'sobralia', 'stanhopea', 'stelis', 'vanda', 'vanilla', 'rosita', 'gentianella', 'agueweed', 'felwort', 'whitlavia', 'fiddleneck', 'gypsyweed', 'oxeye', 'rosinweed', 'cottonweed', 'rhodanthe', 'immortelle', 'wingstem', 'gravelweed', 'frostweed', 'hortensia', 'nerveroot', 'chatterbox', 'angiocarp', 'dicot', 'magnoliopsid', 'dicotyledon', 'exogen', 'liliopsid', 'endogen', 'monocot', 'monocotyledon', 'flower', 'wildflower', 'madderwort', 'jiqui', 'acerola', 'cyrilliaceae', 'pasqueflower', 'redmaids', 'bitterroot', 'flameflower', 'brittlebush', 'incienso', 'sunray', 'engelmannia', 'fleabane', 'gaillardia', 'goldenbush', 'heliopsis', 'goldfields', 'hawkbit', 'edelweiss', 'snakeroot', 'gayfeather', 'butterweed', 'ragwort', 'goldenrod', 'goatsbeard', 'waxflower', 'pinesap', 'bluebell', 'innocense', 'munjeet', 'madder', 'snowball', 'silverrod', 'chafeweed']"
casuarina,"['beefwood', 'ironwood', 'sycamore', 'bitterwood', 'ribbonwood', 'quandong', 'bonduc', 'cassia', 'keurboom', 'medlar', 'chinaberry', 'satinwood', 'marblewood', 'mammee', 'princewood', 'nakedwood', 'hazel', 'cottonwood', 'chinquapin', 'roble', 'titi', 'bearberry', 'cedar', 'tarwood', 'guava', 'puka', 'lime', 'bayberry', 'algarroba', 'myrtle', 'allspice', 'mimosa', 'moosewood', 'pawpaw', 'chittamwood', 'thimbleberry', 'salmonberry', 'yellowwood', 'lancewood', 'zebrawood', 'granadillo', 'acacia', 'coralwood', 'albizia', 'albizzia', 'conacaste', 'inga', 'guama', 'huamachil', 'camachile', 'dita', 'kurchee', 'kurchi', 'conessi', 'cockspur', 'pandanus', 'houhere', 'lacebark', 'simal', 'montezuma', 'silkwood', 'calabura', 'breakaxe', 'breakax', 'mayeng', 'samba', 'arere', 'obechi', 'obeche', 'basswood', 'linden', 'beech', 'chestnut', 'oak', 'birch', 'alder', 'hornbeam', 'ash', 'devilwood', 'dhawa', 'dhava', 'gum', 'poon', 'calaba', 'maria', 'laurelwood', 'clusia', 'souari', 'dipterocarp', 'kitembilla', 'ketembilla', 'kitambilla', 'chaulmoogra', 'chaulmugra', 'idesia', 'elm', 'hackberry', 'brazilwood', 'peachwood', 'msasa', 'locust', 'chicot', 'andelmin', 'angelim', 'camwood', 'palas', 'dak', 'dhak', 'rosewood', 'sisham', 'sissu', 'sissoo', 'kingwood', 'cocobolo', 'blackwood', 'erythrina', 'gliricidia', 'millettia', 'quira', 'kiaat', 'padouk', 'amboyna', 'padauk', 'kino', 'frijolito', 'frijolillo', 'kowhai', 'tipu', 'palm', 'dagame', 'coffee', 'cinchona', 'chinchona', 'opepe', 'lemonwood', 'mahogany', 'azedarach', 'azederach', 'arishth', 'margosa', 'neem', 'langsat', 'langset', 'turreae', 'lepidobotrys', 'caracolito', 'trifoliata', 'willow', 'quandang', 'aalii', 'soapberry', 'molle', 'ebony', 'balata', 'sapote', 'platan', 'calabash', 'teak', 'snag', 'treelet', 'arbor', 'pollard', 'sapling', 'bonsai', 'arariba', 'shittah', 'wattle', 'catechu', 'cassie', 'huisache', 'siris', 'saman', 'zaman', 'monkeypod', 'zamang', 'lauhala', 'harpullia', 'currajong', 'kurrajong', 'coigue', 'quercitron', 'ygdrasil', 'yggdrasil', 'liquidambar', 'eucalyptus', 'eucalypt', 'tupelo', 'fig', 'banyan', 'banian', 'peepul', 'pipul', 'pipal', 'sugarberry', 'canafistola', 'canafistula', 'courbaril', 'jacaranda', 'lightwood', 'logwood', 'campeachy', 'ceibo', 'calamus', 'coco', 'coconut', 'corozo', 'calisaya', 'salai', 'kalantas', 'hardtack', 'flindosy', 'flindosa', 'marupa', 'quassia', 'osier', 'sallow', 'jaboncillo', 'buttonwood', 'carob', 'tamarind', 'tamarindo', 'catalpa', 'gnetum', 'gingko', 'ginkgo', 'conifer', 'laurel', 'magnolia', 'manglietia', 'bocconia', 'baobab', 'kapok', 'balsa', 'sterculia', 'booyong', 'cacao', 'sourwood', 'mangrove', 'dillenia', 'trumpetwood', 'imbauba', 'flamboyant', 'redbud', 'ailanthus', 'poplar', 'maple', 'holly', 'terebinth', 'buckeye', 'satinleaf', 'caimitillo', 'salmwood', 'cypre', 'candlenut', 'tung', 'dogwood', 'cornel', 'spicebush', 'saltwort', 'tumbleweed', 'coralberry', 'velvetleaf', 'wineberry', 'honeyflower', 'waratah', 'andromeda', 'manzanita', 'huckleberry', 'fetterbush', 'groundberry', 'leatherwood', 'rockrose', 'silverbush', 'broom', 'juniper', 'whin', 'christmasberry', 'blackthorn', 'honeysuckle', 'wahoo', 'buckthorn', 'croton', 'gopherwood', 'sweetleaf', 'gidgee', 'harpulla', 'durmast', 'blackjack', 'bilsted', 'mallee', 'stringybark', 'smoothbark', 'peppermint', 'marri', 'pepperidge', 'caprifig', 'gomuti', 'kitul', 'kittul', 'coyol', 'macamba', 'grugru', 'areca', 'babassu', 'cohune', 'palmetto', 'lontar', 'palmyra', 'carnauba', 'caranday', 'caranda', 'latanier', 'talipot', 'rattan', 'jupaty', 'jupati', 'pine', 'larch', 'fir', 'spruce', 'hemlock', 'cathaya', 'cypress', 'metasequoia', 'arborvitae', 'keteleeria', 'araucaria', 'podocarp', 'yacca', 'totara', 'kahikatea', 'rimu', 'nagi', 'miro', 'matai', 'yew', 'bay', 'cinnamon', 'sassafras', 'pepperwood', 'elkwood', 'kalumpang', 'avocado', 'durion', 'durian', 'pitanga', 'jambosa', 'jaboticaba', 'pomegranate', 'mangosteen', 'mamey', 'papaya', 'papaia', 'mulberry', 'breadfruit', 'jackfruit', 'marang', 'icaco', 'quince', 'loquat', 'plum', 'plumcot', 'apricot', 'cherry', 'peach', 'nectarine', 'pear', 'genipa', 'carambola', 'bilimbi', 'citrus', 'dika', 'akee', 'longan', 'lungen', 'longanberry', 'litchi', 'lichee', 'mamoncillo', 'genip', 'ginep', 'rambotan', 'rambutan', 'pulassan', 'pulasan', 'mango', 'jocote', 'mombin', 'persimmon', 'caimito', 'sapodilla', 'canistel', 'rowan', 'tacamahac', 'hackmatack', 'abele', 'aspen', 'winterberry', 'inkberry', 'gallberry', 'mate', 'redbrush', 'pedwood', 'crackerberry', 'bunchberry', 'kola', 'macadamia', 'hazelnut', 'walnut', 'hickory', 'pecan', 'cashew', 'pistachio', 'nutmeg', 'clove', 'hollyhock', 'bilberry', 'briar', 'brier', 'japonica', 'shittimwood', 'chittimwood', 'candelilla', 'restharrow', 'caltrop', 'crabapple', 'mahoe', 'mahagua', 'majagua', 'bennet', 'bugbane', 'melilotus', 'melilot', 'aralia', 'combretum', 'ravenala', 'lespedeza', 'lupin', 'lupine', 'bignoniad', 'gesneriad', 'figwort', 'nightshade', 'lignosae', 'tree', 'bush', 'shrub', 'bramble', 'bluebonnet', 'poroporo', 'bittersweet', 'trompillo', 'poisonberry', 'ephedra', 'barberry', 'papooseroot', 'squawroot', 'hollygrape', 'corkwood', 'calliandra', 'sabicu', 'catclaw', 'mesquite', 'mesquit', 'carissa', 'frangipani', 'frangipanni', 'rauwolfia', 'rauvolfia', 'strophanthus', 'saltbush', 'belvedere', 'barilla', 'glasswort', 'kelpwort', 'kali', 'greasewood', 'caper', 'silversword', 'artemisia', 'goldenbush', 'mutisia', 'daisybush', 'othonna', 'spiceberry', 'marlberry', 'leadwort', 'barbasco', 'joewood', 'mallow', 'cotton', 'pavonia', 'makomako', 'dombeya', 'flannelbush', 'honeybells', 'phalsa', 'protea', 'banksia', 'grevillea', 'needlewood', 'needlebush', 'lomatia', 'geebung', 'heath', 'arbutus', 'bryanthus', 'leatherleaf', 'mayflower', 'salal', 'shallon', 'kalmia', 'leucothoe', 'staggerbush', 'maleberry', 'minniebush', 'rhododendron', 'cranberry', 'blueberry', 'pixy', 'pyxie', 'pixie', 'forestiera', 'forsythia', 'jasmine', 'privet', 'lilac', 'fothergilla', 'oleaster', 'feijoa', 'fuchsia', 'daphne', 'ropebark', 'wicopy', 'helianthemum', 'sunrose', 'ramontchi', 'xylosma', 'candlewood', 'tamarisk', 'cannabis', 'hemp', 'ti', 'yucca', 'buddleia', 'paloverde', 'horsebean', 'senna', 'amorpha', 'rooibos', 'dahl', 'dhal', 'caragana', 'tagasaste', 'clianthus', 'coronilla', 'derris', 'gastrolobium', 'chanar', 'chanal', 'hovea', 'indigo', 'mucuna', 'raetam', 'retem', 'gorse', 'furze', 'rose', 'rosebush', 'shadblow', 'serviceberry', 'shadbush', 'juneberry', 'cotoneaster', 'hawthorn', 'haw', 'toyon', 'tollon', 'cinquefoil', 'sloe', 'firethorn', 'pyracantha', 'pyracanth', 'spiraea', 'spirea', 'blolly', 'gardenia', 'hamelia', 'abelia', 'elder', 'twistwood', 'crampbark', 'weigela', 'coca', 'coville', 'hediondilla', 'boxwood', 'box', 'spindleberry', 'cyrilla', 'crowberry', 'lentisk', 'mastic', 'sumach', 'shumac', 'sumac', 'styrax', 'hydrangea', 'philadelphus', 'currant', 'gooseberry', 'columnea', 'lavender', 'pachouli', 'patchouli', 'patchouly', 'naranjilla', 'maikoa', 'pepper', 'capsicum', 'tamarillo', 'pichi', 'boxthorn', 'cupflower', 'spurge', 'cassava', 'casava', 'camelia', 'camellia', 'tea', 'kapuka', 'undershrub', 'shrublet', 'suffrutex', 'subshrub', 'jujube', 'stephanotis', 'wonderberry', 'sunberry', 'mahuang', 'puckerbush', 'candleberry', 'waxberry', 'tornillo', 'screwbean', 'amatungulu', 'snakewood', 'tarragon', 'estragon', 'muskwood', 'milkweed', 'cheese', 'cheeseflower', 'abelmosk', 'velvetweed', 'althea', 'althaea', 'hibiscus', 'malope', 'waxmallow', 'jellyleaf', 'checkerbloom', 'honeypot', 'erica', 'ling', 'heather', 'moorwort', 'madrona', 'madrono', 'sandberry', 'mealberry', 'creashak', 'dangleberry', 'lambkill', 'rosebay', 'azalea', 'lingberry', 'cowberry', 'lingenberry', 'lingonberry', 'foxberry', 'farkleberry', 'sparkleberry', 'rabbiteye', 'whortleberry', 'blaeberry', 'whinberry', 'grouseberry', 'deerberry', 'epacris', 'tanglebush', 'jessamine', 'silverberry', 'konini', 'mezereon', 'frostwort', 'frostweed', 'coachwhip', 'ocotillo', 'cirio', 'marijuana', 'marihuana', 'ganja', 'soapweed', 'avaram', 'leadplant', 'axseed', 'greenweed', 'woadwaxen', 'dyeweed', 'woodwaxen', 'anil', 'cowage', 'sweetbrier', 'sweetbriar', 'eglantine', 'multiflora', 'mayhaw', 'whitethorn', 'may', 'silverweed', 'coloradillo', 'twinberry', 'woodbine', 'danewort', 'bourtree', 'elderberry', 'skunkbush', 'squawbush', 'shittim', 'snowbell', 'hortensia', 'carpenteria', 'decumary', 'deutzia', 'syringa', 'cayenne', 'jalapeno', 'pimento', 'pimiento', 'paprika', 'jimsonweed', 'wartwort', 'wartweed', 'poinsettia', 'naboom', 'cascarilla', 'mandioca', 'gari', 'manioc', 'mandioc', 'jewbush', 'teaberry', 'checkerberry', 'wintergreen', 'periwinkle', 'bloodleaf', 'burdock', 'clotbur', 'marguerite', 'wormwood', 'sagebrush', 'sticktight', 'centaury', 'matchweed', 'matchbush', 'guayule', 'chaffweed', 'thrift', 'statice', 'corchorus', 'diapensia', 'loosestrife', 'sicklepod', 'sulla', 'cube', 'eriogonum', 'avens', 'woodruff', 'twinflower', 'milkwort', 'pachysandra', 'pinwheel', 'phlomis', 'germander', 'eryngo', 'eringo', 'poinciana', 'bearwood', 'coffeeberry', 'redberry', 'waxflower', 'lawyerbush', 'blackberry', 'raspberry', 'pinyon', 'pinon', 'lodgepole', 'tamarack', 'deodar', 'sugi', 'kawaka', 'pahautea', 'sequoia', 'redwood', 'kauri', 'kaury', 'tanekaha', 'cherimoya', 'ilama', 'soursop', 'sweetsop', 'papaw', 'olive', 'apple', 'bullace', 'myrobalan', 'mei', 'capulin', 'chokecherry', 'almond', 'jagua', 'orange', 'pummelo', 'pomelo', 'shaddock', 'citron', 'grapefruit', 'mandarin', 'tangelo', 'lemanderin', 'rangpur', 'lemon', 'citrange', 'cumquat', 'kumquat', 'kaki', 'possumwood', 'cobnut', 'filbert', 'butternut', 'pignut', 'bitternut', 'shellbark', 'shagbark', 'mockernut', 'kenaf', 'kanaf', 'bimli', 'rozelle', 'roselle', 'sorrel', 'balibago', 'purau', 'cocklebur', 'mugwort', 'southernwood', 'absinthe', 'knapweed', 'rabbitweed', 'snakeweed', 'broomweed', 'tutsan', 'nitweed', 'pineweed', 'beggarweed', 'catgut', 'cloveroot', 'senega', 'candyweed', 'gaywings', 'marum', 'camphorweed', 'vinegarweed', 'dewberry', 'blackcap', 'cloudberry', 'bakeapple']"
rowan,"['titi', 'guava', 'pawpaw', 'crabapple', 'laurel', 'magnolia', 'manglietia', 'bocconia', 'baobab', 'kapok', 'balsa', 'sterculia', 'booyong', 'cacao', 'sourwood', 'ironwood', 'myrtle', 'mangrove', 'dillenia', 'trumpetwood', 'imbauba', 'flamboyant', 'redbud', 'ailanthus', 'poplar', 'maple', 'holly', 'terebinth', 'buckeye', 'satinleaf', 'caimitillo', 'princewood', 'salmwood', 'cypre', 'candlenut', 'tung', 'dogwood', 'cornel', 'bay', 'cinnamon', 'cassia', 'sassafras', 'pepperwood', 'elkwood', 'kalumpang', 'avocado', 'durion', 'durian', 'pitanga', 'jambosa', 'jaboticaba', 'pomegranate', 'mangosteen', 'mammee', 'mamey', 'papaya', 'papaia', 'mulberry', 'breadfruit', 'jackfruit', 'marang', 'icaco', 'quince', 'loquat', 'medlar', 'plum', 'plumcot', 'apricot', 'cherry', 'peach', 'nectarine', 'pear', 'genipa', 'carambola', 'bilimbi', 'citrus', 'dika', 'akee', 'longan', 'lungen', 'longanberry', 'litchi', 'lichee', 'mamoncillo', 'genip', 'ginep', 'rambotan', 'rambutan', 'pulassan', 'pulasan', 'mango', 'jocote', 'mombin', 'persimmon', 'caimito', 'sapodilla', 'canistel', 'tacamahac', 'hackmatack', 'abele', 'cottonwood', 'aspen', 'moosewood', 'sycamore', 'bearberry', 'winterberry', 'inkberry', 'gallberry', 'mate', 'redbrush', 'pedwood', 'crackerberry', 'bunchberry', 'kola', 'macadamia', 'hazel', 'hazelnut', 'walnut', 'hickory', 'pecan', 'cashew', 'pistachio', 'nutmeg', 'allspice', 'clove', 'cherimoya', 'ilama', 'soursop', 'sweetsop', 'papaw', 'olive', 'apple', 'bullace', 'myrobalan', 'mei', 'capulin', 'chokecherry', 'almond', 'jagua', 'orange', 'pummelo', 'pomelo', 'shaddock', 'citron', 'grapefruit', 'mandarin', 'tangelo', 'lemanderin', 'rangpur', 'lemon', 'lime', 'citrange', 'cumquat', 'kumquat', 'kaki', 'possumwood', 'cobnut', 'filbert', 'butternut', 'pignut', 'bitternut', 'shellbark', 'shagbark', 'mockernut', 'sloe', 'islay', 'oxheart', 'gean', 'mazzard', 'amarelle', 'morello', 'marasca', 'fuji', 'bigarade', 'bergamot', 'tangor', 'tangerine', 'clementine', 'satsuma', 'marumi', 'nagami']"
roadhouse,"['khan', 'caravansary', 'caravanserai', 'imaret', 'posthouse', 'fleabag', 'lodge', 'inn', 'hostelry', 'auberge', 'hostel', 'court', 'spa', 'ritz', 'resort', 'motel']"
cockchafer,"['scarab', 'scarabaeus', 'tumblebug', 'dorbeetle', 'figeater']"
largemouth,"['smallmouth', 'crappie', 'bream', 'pumpkinseed', 'bluegill', 'stumpknocker']"
