word,cohyponyms
tortoise,"['terrapin', 'redbelly', 'slider', 'cooter', 'loggerhead', 'ridley', 'hawksbill', 'hawkbill', 'leatherback', 'snapper', 'stinkpot', 'gopher', 'turtle']"
pew,"['settee', 'banquette', 'settle', 'bench', 'ottoman', 'daybed', 'box', 'chair', 'pouf', 'pouffe', 'hassock', 'puff', 'lounge', 'couch', 'sofa', 'stool', 'armchair', 'chaise', 'highchair', 'rocker', 'wheelchair', 'voyeuse', 'convertible', 'divan', 'loveseat', 'squab', 'campstool', 'footstool', 'footrest', 'tuffet', 'tabouret', 'taboret', 'fauteuil', 'lounger', 'recliner', 'throne', 'shoofly', 'davenport', 'cathedra', 'musnud', 'chesterfield']"
primate,"['exarch', 'vicar', 'anteater', 'padre', 'cony', 'coney', 'jackal', 'prelate', 'archpriest', 'hierarch', 'bishop', 'canon', 'celebrant', 'confessor', 'father', 'monsignor', 'pontifex', 'priestess', 'aaron', 'dominic', 'inge', 'newman', 'richelieu', 'tutu', 'usher', 'ussher', 'wykeham', 'wyszynski', 'archbishop', 'cardinal', 'diocesan', 'eparch', 'primus', 'suffragan', 'ambrose', 'berkeley', 'eusebius', 'ignatius', 'martin', 'nicholas', 'wulfila', 'ulfila', 'ulfilas', 'prebendary', 'metropolitan', 'anselm', 'becket', 'dean', 'bellarmine', 'bellarmino', 'borgia', 'wesley', 'hedgehog', 'elephant', 'cat', 'bruin', 'polecat', 'wolverine', 'ringtail', 'potto', 'kinkajou', 'panda', 'mammoth', 'gomphothere', 'unai', 'unau', 'ferret', 'gopher', 'man', 'acolyte', 'anagnost', 'archdeacon', 'chaplain', 'ecclesiastic', 'cleric', 'divine', 'churchman', 'minister', 'curate', 'parson', 'pastor', 'rector', 'deacon', 'dominee', 'domine', 'dominie', 'dominus', 'doorkeeper', 'ostiary', 'ostiarius', 'reader', 'lector', 'officiant', 'ordinand', 'ordinary', 'postulator', 'sermoniser', 'preacher', 'sermonizer', 'priest', 'shepherd', 'subdeacon', 'beecher', 'donne', 'keble', 'king', 'williams', 'stock', 'livestock', 'bull', 'cow', 'yearling', 'buck', 'doe', 'insectivore', 'carnivore', 'fissipedia', 'aardvark', 'bat', 'chiropteran', 'lagomorph', 'rodent', 'gnawer', 'ungulata', 'ungulate', 'unguiculata', 'unguiculate', 'das', 'dassie', 'hyrax', 'pachyderm', 'edentate', 'pangolin', 'colugo', 'proboscidean', 'proboscidian', 'plantigrade', 'digitigrade', 'thurifer', 'ordainer', 'pardoner', 'pluralist', 'bruno', 'ministrant', 'evangelist', 'revivalist', 'gospeller', 'gospeler', 'bunyan', 'stag', 'mole', 'shrewmouse', 'shrew', 'tendrac', 'tenrec', 'potamogale', 'blower', 'cetacean', 'sirenian', 'pinnatiped', 'pinniped', 'fissiped', 'canine', 'canid', 'feline', 'felid', 'bear', 'viverrine', 'mustelid', 'musteline', 'procyonid', 'megabat', 'microbat', 'duplicidentata', 'leporid', 'pika', 'mouse', 'rat', 'murine', 'muskrat', 'musquash', 'hamster', 'gerbille', 'gerbil', 'lemming', 'porcupine', 'jerboa', 'dormouse', 'squirrel', 'marmot', 'beaver', 'sewellel', 'cavy', 'mara', 'capibara', 'capybara', 'agouti', 'paca', 'nutria', 'coypu', 'chinchilla', 'viscacha', 'chinchillon', 'abrocome', 'dinocerate', 'perissodactyl', 'artiodactyl', 'armadillo', 'sloth', 'megatheriid', 'megatherian', 'mylodontid', 'mylodon', 'simian', 'ape', 'anthropoid', 'hominoid', 'hominid', 'monkey', 'prosimian', 'lemur', 'tarsier', 'pentail', 'mastodon', 'mastodont', 'absolver', 'televangelist', 'graham', 'mcpherson', 'moody', 'roberts', 'sunday', 'royal', 'whale', 'manatee', 'dugong', 'seal', 'walrus', 'seahorse', 'bitch', 'dog', 'wolf', 'hyena', 'hyaena', 'fox', 'civet', 'fossa', 'genet', 'mongoose', 'meerkat', 'mierkat', 'weasel', 'mink', 'foulmart', 'foumart', 'fitch', 'otter', 'skunk', 'badger', 'ratel', 'carcajou', 'glutton', 'grison', 'marten', 'tayra', 'taira', 'racoon', 'raccoon', 'bassarisk', 'cacomixle', 'cacomistle', 'coati', 'harpy', 'vespertilionid', 'freetail', 'rabbit', 'hare', 'fieldmouse', 'vole', 'packrat', 'jird', 'loir', 'lerot', 'spermophile', 'hackee', 'chipmunk', 'baranduki', 'barunduki', 'baronduki', 'burunduki', 'woodchuck', 'groundhog', 'whistler', 'rockchuck', 'aperea', 'uintathere', 'dinoceras', 'equid', 'equine', 'rhino', 'rhinoceros', 'tapir', 'swine', 'peccary', 'hippopotamus', 'hippo', 'ruminant', 'camel', 'llama', 'vicuna', 'peba', 'apar', 'tatouay', 'cabassous', 'poyou', 'peludo', 'tatu', 'tatou', 'chlamyphore', 'pichiciego', 'pichiciago', 'ai', 'megathere', 'mapinguari', 'tamanoir', 'tamandua', 'tamandu', 'proconsul', 'aegyptopithecus', 'human', 'homo', 'pithecanthropus', 'sinanthropus', 'javanthropus', 'australopithecine', 'sivapithecus', 'dryopithecine', 'catarrhine', 'platyrrhinian', 'platyrrhine', 'angwantibo', 'bushbaby', 'galago', 'indris', 'indri', 'echidna', 'opossum', 'possum', 'boar', 'tusker', 'prototherian', 'metatherian', 'placental', 'eutherian', 'monotreme', 'marsupial', 'platypus', 'duckbill', 'bandicoot', 'kangaroo', 'phalanger', 'wombat', 'dasyurid', 'queen', 'narwhale', 'narwal', 'narwhal', 'spouter', 'puppy', 'barker', 'doggy', 'pooch', 'doggie', 'mongrel', 'cur', 'mutt', 'lapdog', 'toy', 'dalmatian', 'basenji', 'pug', 'leonberg', 'newfoundland', 'spitz', 'griffon', 'corgi', 'poodle', 'coyote', 'warragal', 'dingo', 'warrigal', 'dhole', 'aardwolf', 'vixen', 'reynard', 'wildcat', 'leopard', 'ounce', 'panther', 'jaguar', 'lion', 'tiger', 'liger', 'tigon', 'tiglon', 'cheetah', 'chetah', 'sabertooth', 'silvertip', 'grizzly', 'kodiak', 'bearcat', 'binturong', 'cryptoprocta', 'fanaloka', 'ichneumon', 'suricate', 'ermine', 'muishond', 'sable', 'fisher', 'pekan', 'coon', 'macrotus', 'serotine', 'pipistrelle', 'pipistrel', 'lapin', 'bunny', 'cottontail', 'leporide', 'angora', 'leveret', 'jackrabbit', 'phenacomys', 'chickeree', 'souslik', 'suslik', 'flickertail', 'taguan', 'horse', 'ass', 'mule', 'hinny', 'zebra', 'quagga', 'pig', 'hog', 'grunter', 'squealer', 'sow', 'razorback', 'babirussa', 'babirusa', 'babiroussa', 'warthog', 'javelina', 'pollard', 'bovid', 'pronghorn', 'prongbuck', 'deer', 'cervid', 'chevrotain', 'camelopard', 'giraffe', 'dromedary', 'guanaco', 'alpaca', 'pongid', 'world', 'mankind', 'humanity', 'humankind', 'humans', 'neandertal', 'neanderthal', 'hooman', 'zinjanthropus', 'paranthropus', 'rudapithecus', 'guenon', 'mangabey', 'patas', 'baboon', 'macaque', 'langur', 'colobus', 'marmoset', 'capuchin', 'douroucouli', 'howler', 'saki', 'uakari', 'titi', 'bilby', 'wallaby', 'cuscus', 'koala', 'dasyure', 'thylacine', 'numbat']"
trolley,"['wagon', 'tank', 'van', 'tractor', 'panzer', 'tram', 'tramcar', 'carriage', 'bike', 'car', 'waggon', 'truck', 'rig', 'lorry', 'cab', 'roadster', 'camion', 'carrier', 'forklift', 'locomotive', 'engine', 'r.v.', 'rv', 'streetcar', 'cart', 'scooter', 'velocipede', 'apc', 'dinky', 'dinkey', 'shunter', 'amphibian', 'bloodmobile', 'automobile', 'motorcar', 'machine', 'auto', 'doodlebug', '4wd', 'golfcart', 'hearse', 'motorcycle', 'snowplow', 'snowplough', 'motortruck', 'camper', 'horsecar', 'cat', 'caterpillar', 'snowmobile', 'delimber', 'bulldozer', 'dozer', 'skidder', 'coach', 'chariot', 'ambulance', 'bus', 'heap', 'jalopy', 'hack', 'taxi', 'taxicab', 'compact', 'convertible', 'coupe', 'cruiser', 'electric', 'hardtop', 'hatchback', 'jeep', 'landrover', 'limousine', 'limo', 'loaner', 'minicar', 'minivan', 'racer', 'runabout', 'sedan', 'saloon', 'suv', 's.u.v.', 'subcompact', 'phaeton', 'tourer', 'motorbike', 'minibike', 'scrambler', 'dumper', 'tipper', 'dustcart', 'pickup', 'wrecker', 'semi', 'transporter', 'tanker', 'caravan', 'angledozer', 'brougham', 'minicab', 'stroller', 'pusher', 'pushchair', 'perambulator', 'pram', 'wheel', 'bicycle', 'cycle', 'boneshaker', 'railcar', 'pushcart', 'handcart', 'skateboard', 'trailer', 'tricycle', 'trike', 'monocycle', 'unicycle', 'bassinet', 'tandem', 'ordinary', 'caboose', 'handcar', 'tender', 'applecart', 'wheelbarrow', 'barrow', 'forecarriage', 'equipage', 'limber', 'sulky', 'pedicab', 'bandwagon', 'conestoga', 'milkwagon', 'wain', 'boxcar', 'flatbed', 'flatcar', 'flat', 'gondola', 'diner', 'nonsmoker', 'pullman', 'sleeper', 'smoker', 'teacart', 'barouche', 'buckboard', 'buggy', 'cabriolet', 'caroche', 'chaise', 'shay', 'clarence', 'drosky', 'droshky', 'gharry', 'gig', 'hackney', 'hansom', 'landau', 'stanhope', 'surrey', 'trap', 'troika', 'dogcart', 'dumpcart', 'rickshaw', 'jinrikisha', 'ricksha', 'oxcart', 'ponycart', 'berlin', 'finisher', 'moped', 'technical', 'bookmobile', 'stockcar', 'stage', 'stagecoach', 'remise', 'tumbrel', 'tumbril', 'dray']"
nurse,"['bonesetter', 'electrologist', 'pharmacist', 'druggist', 'chemist', 'apothecary', 'minder', 'babyminder', 'sitter', 'babysitter', 'screw', 'gaoler', 'jailer', 'turnkey', 'jailor', 'nanny', 'nursemaid', 'dentist', 'md', 'physician', 'dr.', 'doctor', 'medico', 'doc', 'inoculator', 'vaccinator', 'medic', 'hippocrates', 'lpn', 'matron', 'accoucheuse', 'midwife', 'probationer', 'rn', 'cavell', 'nightingale', 'sanger', 'pharmacologist', 'mammy', 'amah', 'wetnurse', 'endodontist', 'exodontist', 'orthodontist', 'pedodontist', 'periodontist', 'prosthodontist', 'abortionist', 'allergist', 'angiologist', 'extern', 'gastroenterologist', 'gp', 'hakeem', 'hakim', 'resident', 'houseman', 'intern', 'interne', 'quack', 'specialist', 'surgeon', 'sawbones', 'veterinarian', 'vet', 'veterinary', 'averroes', 'avicenna', 'barany', 'bartholin', 'bruce', 'crohn', 'down', 'eijkman', 'fallot', 'gilbert', 'harvey', 'hodgkin', 'huntington', 'jacobs', 'jenner', 'klinefelter', 'lozier', 'manson', 'mesmer', 'paracelsus', 'roget', 'ross', 'rush', 'schweitzer', 'shaw', 'simpson', 'sydenham', 'willebrand', 'np', 'loewi', 'anaesthetist', 'anesthesiologist', 'anesthetist', 'pediatrician', 'pediatrist', 'paediatrician', 'cardiologist', 'chiropodist', 'podiatrist', 'dermatologist', 'pathologist', 'diagnostician', 'diplomate', 'otologist', 'embryologist', 'endocrinologist', 'otolaryngologist', 'otorhinolaryngologist', 'rhinolaryngologist', 'gerontologist', 'geriatrician', 'gynaecologist', 'gynecologist', 'haematologist', 'hematologist', 'hygienist', 'internist', 'neurologist', 'obstetrician', 'accoucheur', 'oncologist', 'oculist', 'ophthalmologist', 'orthopaedist', 'orthopedist', 'orthoptist', 'proctologist', 'shrink', 'psychiatrist', 'radiographer', 'radiotherapist', 'radiologist', 'rheumatologist', 'urologist', 'amputator', 'neurosurgeon', 'beaumont', 'carrel', 'cowper', 'gorgas', 'lister', 'parkinson', 'reed']"
stocking,"['sock', 'tights', 'leotards', 'anklet', 'bobbysocks', 'anklets', 'bobbysock', 'argyle', 'argyll', 'tabis', 'tabi', 'boothose', 'nylons', 'rayons', 'maillot', 'pantyhose', 'hosiery', 'hose', 'irrigation', 'alimentation', 'feeding', 'refueling', 'fueling', 'issue', 'issuing', 'issuance', 'logistics', 'purveyance', 'subvention', 'suckling', 'lactation', 'gavage', 'iv', 'overfeeding', 'spoonfeeding', 'tpn', 'hyperalimentation', 'nursing', 'gastrogavage']"
stereo,"['stereophony', 'shot', 'telephotograph', 'ipod', 'quadraphony', 'walkman', 'photocopy', 'print', 'vignette', 'scene', 'photostat', 'reproducer', 'beefcake', 'monochrome', 'blueprint', 'cheesecake', 'closeup', 'daguerreotype', 'enlargement', 'magnification', 'blowup', 'frame', 'glossy', 'headshot', 'holograph', 'hologram', 'longshot', 'microdot', 'mosaic', 'photomosaic', 'mugshot', 'photomicrograph', 'radiograph', 'skiagraph', 'shadowgraph', 'skiagram', 'radiogram', 'snap', 'snapshot', 'spectrograph', 'spectrogram', 'still', 'telephoto', 'instagay', 'latergram', 'bromoil', 'micrograph', 'image', 'picture', 'cutout', 'proof', 'autoradiograph', 'roentgenogram', 'anaglyph', 'radiophotograph', 'radiophoto', 'outtake', 'toy', 'standee', 'angiocardiogram', 'angiogram', 'arteriogram', 'arthrogram', 'pneumoencephalogram', 'encephalogram', 'hysterosalpingogram', 'mammogram', 'myelogram', 'pyelogram', 'phlebogram', 'venogram', 'babygram', 'tomogram', 'adumbration', 'audiogram', 'copy', 'cosmography', 'creche', 'cutaway', 'presentation', 'display', 'document', 'drawing', 'effigy', 'simulacrum', 'illustration', 'map', 'simulation', 'model', 'nomogram', 'nomograph', 'objectification', 'exposure', 'pic', 'photograph', 'photo', 'icon', 'ikon', 'pieta', 'projection', 'rubbing', 'shade', 'set', 'anamorphosis', 'anamorphism', 'carbon', 'cast', 'casting', 'duplication', 'duplicate', 'facsimile', 'autotype', 'imitation', 'knockoff', 'clone', 'miniature', 'modification', 'quadruplicate', 'reproduction', 'replication', 'replica', 'triplicate', 'xerox', 'float', 'spectacle', 'letter', 'missive', 'charcoal', 'depiction', 'limning', 'delineation', 'diagram', 'plan', 'rendering', 'scribble', 'doodle', 'scrabble', 'silhouette', 'silverpoint', 'study', 'sketch', 'trace', 'tracing', 'guy', 'idol', 'god', 'scarer', 'scarecrow', 'strawman', 'waxwork', 'plate', 'chart', 'plat', 'figure', 'globe', 'planetarium', 'restoration', 'roughcast', 'bitmap', 'chiaroscuro', 'collage', 'montage', 'foil', 'transparency', 'graphic', 'iconography', 'inset', 'semblance', 'likeness', 'panorama', 'cyclorama', 'diorama', 'reflection', 'reflexion', 'scan', 'sonogram', 'echogram', 'fitspo', 'scenery', 'block', 'backup', 'counterpart', 'twin', 'similitude', 'match', 'mate', 'postiche', 'sham', 'fake', 'forgery', 'counterfeit', 'corrida', 'bullfight', 'naumachy', 'naumachia', 'encyclical', 'pastoral', 'aerogramme', 'aerogram', 'epistle', 'invitation', 'animalization', 'horoscope', 'schematic', 'zodiac', 'elevation', 'design', 'draft', 'joss', 'juggernaut', 'dummy', 'figurehead', 'figurine', 'statuette', 'marionette', 'puppet', 'snowman', 'orrery', 'grisaille', 'photomontage', 'slide', 'overhead', 'viewgraph', 'identikit', 'portrayal', 'portrait', 'background', 'backcloth', 'backdrop', 'flat', 'masking', 'lymphangiogram', 'ivp', 'novillada', 'line', 'note', 'billet', 'bidding', 'summons', 'invite', 'form', 'manikin', 'mannequin', 'manakin', 'mannikin', 'armilla', 'coulisse', 'teaser', 'tormenter', 'tormentor']"
saxophonist,"['lewis', 'starr', 'starkey', 'king', 'ledbetter', 'leadbelly', 'armstrong', 'satchmo', 'rubinstein', 'horne', 'jackson', 'smith', 'berry', 'haley', 'harrison', 'holly', 'jagger', 'lennon', 'mccartney', 'morrison', 'presley', 'accompanist', 'accompanyist', 'accordionist', 'concertinist', 'bandsman', 'bassist', 'bassoonist', 'carillonneur', 'cellist', 'violoncellist', 'clarinetist', 'clarinettist', 'flutist', 'flautist', 'gambist', 'guitarist', 'harmonizer', 'harmoniser', 'harpist', 'harper', 'harpsichordist', 'hornist', 'jazzman', 'keyboardist', 'lutenist', 'lutist', 'lutanist', 'oboist', 'organist', 'percussionist', 'pianist', 'bagpiper', 'piper', 'rocker', 'saxist', 'vocalizer', 'vocaliser', 'vocalist', 'singer', 'soloist', 'trombonist', 'trumpeter', 'cornetist', 'vibist', 'vibraphonist', 'fiddler', 'violinist', 'violist', 'casals', 'goodman', 'shaw', 'hendrix', 'segovia', 'landowska', 'syncopator', 'davis', 'ellington', 'hampton', 'herman', 'monk', 'morton', 'oliver', 'tatum', 'waller', 'dowland', 'bach', 'bruckner', 'byrd', 'couperin', 'purcell', 'schweitzer', 'tallis', 'cymbalist', 'drummer', 'xylophonist', 'bartok', 'blitzstein', 'chopin', 'czerny', 'falla', 'hess', 'horowitz', 'liszt', 'paderewski', 'poulenc', 'rachmaninoff', 'rachmaninov', 'schnabel', 'schumann', 'serkin', 'domino', 'altoist', 'tenorist', 'hawkins', 'parker', 'young', 'alto', 'baritone', 'barytone', 'bass', 'basso', 'canary', 'caroller', 'caroler', 'castrato', 'chorister', 'contralto', 'crooner', 'balladeer', 'jongleur', 'minstrel', 'troubadour', 'hummer', 'madrigalist', 'rapper', 'songster', 'soprano', 'tenor', 'thrush', 'voice', 'warbler', 'yodeller', 'bailey', 'cash', 'chevalier', 'dietrich', 'dylan', 'fitzgerald', 'garland', 'iglesias', 'jolson', 'joplin', 'lauder', 'madonna', 'marley', 'martin', 'merman', 'orbison', 'piaf', 'robeson', 'russell', 'simon', 'streisand', 'vaughan', 'waters', 'williams', 'wynette', 'shankar', 'recitalist', 'bugler', 'gillespie', 'corelli', 'enesco', 'grappelli', 'joachim', 'kreisler', 'menuhin', 'paganini', 'stern', 'vivaldi', 'zimbalist', 'zukerman', 'tympanist', 'timpanist', 'countertenor', 'choirboy', 'anderson', 'crosby', 'sinatra', 'guthrie', 'seeger', 'diva', 'songstress', 'coloratura', 'mezzo', 'farrell', 'lind', 'nilsson', 'norman', 'ponselle', 'price', 'sills', 'sutherland', 'tebaldi', 'traubel', 'caruso', 'domingo', 'mccormick', 'melchior', 'pavarotti', 'callas', 'melba', 'pons']"
shortcut,"['drive', 'street', 'bypath', 'byway', 'byroad', 'causeway', 'clearway', 'corduroy', 'detour', 'parkway', 'driveway', 'highway', 'line', 'roadway', 'cutoff', 'crosscut', 'speedway', 'thoroughfare', 'track', 'cartroad', 'turnoff', 'ringway', 'beltway', 'bypass', 'thruway', 'freeway', 'expressway', 'superhighway', 'motorway', 'throughway', 'pike', 'highroad', 'interstate', 'spur', 'carriageway', 'artery', 'impasse', 'portage', 'trail', 'autobahn', 'autostrada', 'turnpike', 'alleyway', 'alley', 'boulevard', 'avenue', 'mews', 'rue', 'whitehall', 'strand', 'bowery', 'broadway', 'piste']"
title,"['rubric', 'crosshead', 'crossheading', 'headline', 'lemma', 'subhead', 'subheading', 'strapline', 'stephead', 'dropline', 'screamer', 'streamer', 'banner', 'credit', 'caption', 'legend', 'subtitle', 'head', 'heading', 'header', 'dateline', 'verse', 'speech', 'words', 'orphan', 'acatalectic', 'alexandrine', 'catalectic', 'hypercatalectic', 'iambic', 'adonic', 'tetrameter', 'pentameter', 'hexameter', 'octameter', 'octosyllable', 'decasyllable', 'heptasyllable', 'aside', 'cue', 'monologue', 'soliloquy', 'throwaway', 'prompting', 'prompt']"
