word,singular
spa,spa
poles,pole
lovers,lover
moderate,moderate
talk,talk
laws,law
shrine,shrine
mag,mag
specifications,specification
hunters,hunter
fathers,father
restrictions,restriction
caucasus,caucasus
dvd,dvd
barbarians,barbarian
trials,trial
albania,albania
bentley,bentley
kissing,kiss
ai,ai
plays,play
failures,failure
terminals,terminal
unite,unite
magazines,magazine
lead,lead
holocaust,holocaust
barracks,barrack
spaniards,spaniards
errors,error
folds,fold
processors,processor
suns,sun
greaves,greave
francisco,francisco
tennessee,tennessee
ken,ken
mali,mali
northbound,northbound
murray,murray
pinch,pinch
chords,chord
mt,mt
roof,roof
weights,weight
pieces,piece
preschool,preschool
hickory,hickory
editors,editor
wesley,wesley
papa,papa
archduke,archduke
satire,satire
stew,stew
policies,policy
fm,fm
throws,throw
neurons,neuron
revelation,revelation
ethiopian,ethiopian
years,year
mosques,mosque
astros,astros
tournament,tournament
andreas,andreas
quakers,quaker
mandolin,mandolin
miami,miami
eventually,eventually
nebraska,nebraska
moritz,moritz
illness,illness
gray,gray
neue,neue
posters,poster
moments,moment
cuba,cuba
grasslands,grassland
everest,everest
maybe,maybe
race,race
accent,accent
pants,pant
vents,vent
dolphin,dolphin
curry,curry
comedy,comedy
alpha,alpha
small,small
madagascar,madagascar
hepatitis,hepatitis
hess,hess
mobile,mobile
deep,deep
snoop,snoop
training,training
pharmaceuticals,pharmaceutical
pots,pot
archdiocese,archdiocese
balkans,balkans
mac,mac
singing,singe
halves,half
tao,tao
salts,salt
sas,sas
midlands,midland
dioceses,diocese
fellows,fellow
rhino,rhino
devon,devon
neoclassical,neoclassical
mba,mba
łodz,łodz
target,target
intersections,intersection
cattle,cattle
commands,command
bran,bran
second,second
billions,billion
saratoga,saratoga
trust,trust
voices,voice
oregon,oregon
shop,shop
mikhail,mikhail
capitalism,capitalism
myanmar,myanmar
final,final
phosphate,phosphate
plastic,plastic
shadows,shadow
super,super
cerambycidae,cerambycidae
ed,ed
krakow,krakow
abby,abby
kant,kant
india,india
representatives,representative
memoir,memoir
transient,transient
actors,actor
sixties,sixty
neo,neo
aura,aura
sabah,sabah
russia,russia
cats,cat
churchyard,churchyard
ringo,ringo
insulin,insulin
protagonists,protagonist
scholastic,scholastic
maids,maid
destination,destination
train,train
wire,wire
liechtenstein,liechtenstein
comedies,comedy
musa,musa
fried,fry
schwarz,schwarz
advances,advance
eurovision,eurovision
elephants,elephant
logistics,logistic
essex,essex
provence,provence
asian,asian
deer,deer
praises,praise
mace,mace
mcc,mcc
wealth,wealth
architect,architect
helicopter,helicopter
persian,persian
alain,alain
nursing,nursing
canals,canal
luxembourg,luxembourg
cambridgeshire,cambridgeshire
relay,relay
ropes,rope
winter,winter
internationally,internationally
sp,sp
sr,sr
afternoon,afternoon
ars,ars
modules,module
types,type
rooster,rooster
bags,bag
acacia,acacia
general,general
tallinn,tallinn
burundi,burundi
panic,panic
ph,ph
monk,monk
devil,devil
bangalore,bangalore
criticisms,criticism
nodes,node
singer,singer
lavender,lavender
generally,generally
cole,cole
lincoln,lincoln
beta,beta
govern,govern
inverness,inverness
knee,knee
guangdong,guangdong
jesus,jesus
coventry,coventry
coordinates,coordinate
dentist,dentist
calabria,calabria
corners,corner
destroyers,destroyer
cabinets,cabinet
durham,durham
buddies,buddy
passes,pass
grass,grass
nice,nice
glory,glory
sorry,sorry
bones,bone
servant,servant
responses,response
careers,career
deception,deception
asphalt,asphalt
filipino,filipino
unnatural,unnatural
neon,neon
werewolves,werewolf
hum,hum
married,married
muscle,muscle
irony,irony
humiliation,humiliation
schubert,schubert
queer,queer
complexity,complexity
oldies,oldie
historians,historian
proposals,proposal
aleksandr,aleksandr
wonderful,wonderful
morales,morale
geese,geese
animals,animal
execution,execution
unusual,unusual
tasks,task
slacks,slack
craters,crater
campaigns,campaign
mythology,mythology
cryptic,cryptic
hysteria,hysteria
zeppelin,zeppelin
porsche,porsche
gibraltar,gibraltar
bulging,bulge
classics,classic
movie,movie
bulb,bulb
psychic,psychic
stroke,stroke
standings,standing
estonia,estonia
lakshmi,lakshmi
troops,troop
skiing,ski
crystal,crystal
porch,porch
stains,stain
nash,nash
holland,holland
stops,stop
hasan,hasan
benin,benin
sport,sport
albums,album
nhs,nhs
legends,legend
nepal,nepal
athena,athena
june,june
moroccan,moroccan
exodus,exodus
wonders,wonder
shipyard,shipyard
peterborough,peterborough
spear,spear
cases,case
artisans,artisan
montenegro,montenegro
clapping,clap
patience,patience
goodbye,goodbye
computer,computer
international,international
rubber,rubber
ancestors,ancestor
kimberley,kimberley
soviet,soviet
handcuffs,handcuff
militants,militant
oxidation,oxidation
redhead,redhead
pipe,pipe
trams,tram
pictures,picture
siblings,sibling
arteries,artery
philosophy,philosophy
gaddafi,gaddafi
airbus,airbus
dragon,dragon
polka,polka
sid,sid
colt,colt
rome,rome
partnership,partnership
missionaries,missionary
abolition,abolition
spectra,spectra
kicks,kick
shillings,shilling
ceramics,ceramic
venezuela,venezuela
roads,road
laurent,laurent
exactly,exactly
carriages,carriage
hawthorn,hawthorn
cup,cup
boeing,boeing
leonardo,leonardo
submissions,submission
trinity,trinity
rage,rage
increases,increase
israelis,israelis
servants,servant
mccoy,mccoy
soldier,soldier
service,service
tickets,ticket
geneva,geneva
beverages,beverage
khmer,khmer
vacancy,vacancy
persia,persia
producing,produce
dakota,dakota
edited,edit
sacrifice,sacrifice
spatial,spatial
eye,eye
andy,andy
expansion,expansion
scents,scent
lose,lose
anthropology,anthropology
marta,marta
bala,bala
jacobs,jacobs
light,light
expenditure,expenditure
queens,queen
suits,suit
time,time
routines,routine
depths,depth
visible,visible
smallpox,smallpox
seventies,seventy
seasonal,seasonal
goats,goat
look,look
resistance,resistance
cologne,cologne
solid,solid
release,release
late,late
ammonia,ammonia
joy,joy
cumbria,cumbria
theology,theology
bacteria,bacteria
marcus,marcus
apartheid,apartheid
strain,strain
conversions,conversion
nissan,nissan
abu,abu
rounding,round
president,president
propaganda,propaganda
karl,karl
briefs,brief
slade,slade
docking,dock
widows,widow
tr,tr
dodgers,dodger
eel,eel
paris,paris
styles,style
romani,romani
join,join
judgments,judgment
physicians,physician
tumor,tumor
plantations,plantation
later,later
momentum,momentum
jewellery,jewellery
partnerships,partnership
wimbledon,wimbledon
coaching,coach
rush,rush
roman,roman
bays,bay
cromwell,cromwell
inheritance,inheritance
bleeding,bleed
taiwan,taiwan
liverpool,liverpool
centers,center
eritrea,eritrea
noun,noun
socialist,socialist
malay,malay
hunts,hunt
imagination,imagination
sapphire,sapphire
chant,chant
hydrogen,hydrogen
chants,chant
et,et
hostel,hostel
worcester,worcester
